EventID,EventType,Severity,Status,EventDate,DueDate,CloseDate,AgeDays_AsOf,SLA_Days,BookingLocation,Region,Team,Product,AmountCHF,MandatoryFieldsMissingCount,ExceptionReason,RootCause,SourceSystem,ClientSegment
E0000333,Reconciliation Break,High,Open,2025-01-07,,,358.0,7,Zurich,EMEA,Compliance & Controls,Execution-only,122363.8292425244,0,Over SLA; High/Critical Severity,Process,Monitoring Tool,
E0000337,High-Risk Transaction,High,Open,2025-01-07,,,358.0,10,Geneva,EMEA,Front Office,Advisory,350735.4026567105,0,Over SLA; High/Critical Severity; High Amount >250k,Process,Workflow,
E0000361,Limit Breach,Low,Open,2025-01-07,,,358.0,10,Singapore,APAC,Front Office,Execution-only,97584.49360778707,0,Over SLA,System,CRM,
E0000375,Reconciliation Break,Low,Open,2025-01-08,,,357.0,7,Zurich,EMEA,Operations,Advisory,56441.63188733401,0,Over SLA,System,Core Banking,
E0000386,Overdue Task,Low,Open,2025-01-08,2025-01-15,,357.0,7,Zurich,EMEA,Front Office,Structured Products,,0,Over SLA; Overdue,Manual,Workflow,Affluent
E0000388,Incident,Low,Open,2025-01-08,,,357.0,30,Geneva,EMEA,Operations,Advisory,13319.851817324337,0,Over SLA,System,Workflow,
E0000389,Processing Error,Medium,Open,2025-01-08,,,357.0,14,Geneva,EMEA,Operations,Discretionary,22943.456469244717,0,Over SLA,Process,Monitoring Tool,
E0000390,Processing Error,Critical,Open,2025-01-08,,,357.0,14,Geneva,EMEA,Operations,Discretionary,,0,Over SLA; High/Critical Severity,Manual,CRM,
E0000396,Processing Error,Medium,Open,2025-01-08,,,357.0,14,London,EMEA,Operations,Advisory,,0,Over SLA,Manual,Workflow,
E0000403,Processing Error,Medium,Open,2025-01-08,,,357.0,14,London,EMEA,Operations,Execution-only,,0,Over SLA,Process,CRM,
E0000405,High-Risk Transaction,Medium,Open,2025-01-08,,,357.0,10,New York,Americas,Front Office,Advisory,91533.35465316648,0,Over SLA,Manual,Workflow,
E0000417,Reconciliation Break,Critical,Open,2025-01-08,,,357.0,7,Singapore,APAC,Operations,Advisory,30071.449996544663,0,Over SLA; High/Critical Severity,Process,Core Banking,
E0000423,Overdue Task,Low,Open,2025-01-08,2025-01-15,,357.0,7,Singapore,APAC,Compliance & Controls,Execution-only,,0,Over SLA; Overdue,Manual,Email Intake,HNW
E0000457,KYC Review Overdue,Medium,Open,2025-01-09,2025-02-08,,356.0,30,London,EMEA,Front Office,Discretionary,,0,Over SLA; Overdue,Policy/Guidance,Workflow,Affluent
E0000473,Reconciliation Break,Medium,Open,2025-01-09,,,356.0,7,New York,Americas,Operations,Discretionary,20452.41310103719,0,Over SLA,Process,Core Banking,
E0000479,Data Quality Issue,Medium,Open,2025-01-09,,,356.0,14,Singapore,APAC,Operations,Advisory,,0,Over SLA,Third-party,Monitoring Tool,
E0000480,High-Risk Transaction,Critical,Open,2025-01-09,,,356.0,10,Singapore,APAC,Front Office,Execution-only,57646.09250781646,0,Over SLA; High/Critical Severity,Manual,Monitoring Tool,
E0000486,Incident,Medium,Open,2025-01-09,,,356.0,30,Hong Kong,APAC,Operations,Advisory,,0,Over SLA,Policy/Guidance,Workflow,
E0000487,Processing Error,High,Open,2025-01-09,,,356.0,14,Hong Kong,APAC,Operations,Advisory,,0,Over SLA; High/Critical Severity,Manual,Monitoring Tool,
E0000501,Incident,Low,Open,2025-01-10,,,355.0,30,Zurich,EMEA,Front Office,Execution-only,,0,Over SLA,Process,Workflow,
E0000505,Processing Error,High,Open,2025-01-10,,,355.0,14,Zurich,EMEA,Operations,Lombard Lending,20020.8433029043,0,Over SLA; High/Critical Severity,Manual,CRM,
E0000515,KYC Review Overdue,Low,Open,2025-01-10,2025-02-09,,355.0,30,Geneva,EMEA,Client Onboarding,Structured Products,,0,Over SLA; Overdue,Third-party,Email Intake,Affluent
E0000528,Processing Error,High,Open,2025-01-10,,,355.0,14,New York,Americas,Front Office,Execution-only,,1,Over SLA; High/Critical Severity; Missing Mandatory Fields,Manual,CRM,
E0000557,KYC Review Overdue,High,Open,2025-01-11,2025-02-10,,354.0,30,Zurich,EMEA,Operations,Advisory,,0,Over SLA; Overdue; High/Critical Severity,Process,Workflow,Affluent
E0000560,Processing Error,High,Open,2025-01-11,,,354.0,14,Zurich,EMEA,Operations,Discretionary,,0,Over SLA; High/Critical Severity,System,CRM,
E0000584,Incident,High,Open,2025-01-11,,,354.0,30,New York,Americas,Front Office,Discretionary,,0,Over SLA; High/Critical Severity,Process,Email Intake,
E0000586,Processing Error,Low,Open,2025-01-11,,,354.0,14,New York,Americas,Operations,Discretionary,,0,Over SLA,Third-party,Core Banking,
E0000596,Processing Error,Medium,Open,2025-01-11,,,354.0,14,Singapore,APAC,Operations,Discretionary,,0,Over SLA,System,Monitoring Tool,
E0000612,Reconciliation Break,Critical,Open,2025-01-12,,,353.0,7,Zurich,EMEA,Operations,Execution-only,14262.157130901844,0,Over SLA; High/Critical Severity,Manual,Monitoring Tool,
E0000629,Processing Error,High,Open,2025-01-12,,,353.0,14,New York,Americas,Front Office,Advisory,,0,Over SLA; High/Critical Severity,Manual,Workflow,
E0000630,Processing Error,High,Open,2025-01-12,,,353.0,14,New York,Americas,Operations,Advisory,,0,Over SLA; High/Critical Severity,Process,Core Banking,
E0000635,Overdue Task,High,Open,2025-01-12,2025-01-19,,353.0,7,Singapore,APAC,Compliance & Controls,Advisory,,0,Over SLA; Overdue; High/Critical Severity,System,Workflow,Affluent
E0000651,Data Quality Issue,High,Open,2025-01-13,,,352.0,14,Zurich,EMEA,Operations,Lombard Lending,,0,Over SLA; High/Critical Severity,System,Core Banking,
E0000668,Data Quality Issue,Critical,Open,2025-01-13,,,352.0,14,London,EMEA,Front Office,Execution-only,,0,Over SLA; High/Critical Severity,Manual,Email Intake,
E0000670,Processing Error,Low,Open,2025-01-13,,,352.0,14,London,EMEA,Operations,Execution-only,,0,Over SLA,System,Monitoring Tool,
E0000681,Processing Error,Low,Open,2025-01-13,,,352.0,14,New York,Americas,Front Office,Discretionary,,0,Over SLA,Process,Workflow,
E0000684,High-Risk Transaction,High,Open,2025-01-13,,,352.0,10,New York,Americas,Front Office,Execution-only,41479.98439256751,1,Over SLA; High/Critical Severity; Missing Mandatory Fields,System,Email Intake,
E0000694,Processing Error,Medium,Open,2025-01-13,,,352.0,14,Singapore,APAC,Operations,Structured Products,7502.700400305783,0,Over SLA,Manual,Email Intake,
E0000709,Overdue Task,Low,Open,2025-01-14,2025-01-21,,351.0,7,Zurich,EMEA,Front Office,Execution-only,,0,Over SLA; Overdue,Process,Email Intake,Affluent
E0000727,High-Risk Transaction,High,Open,2025-01-14,,,351.0,10,London,EMEA,Front Office,Advisory,15608.687040397319,0,Over SLA; High/Critical Severity,System,Email Intake,
E0000728,Processing Error,Medium,Open,2025-01-14,,,351.0,14,London,EMEA,Operations,Discretionary,,0,Over SLA,Manual,Core Banking,
E0000729,Processing Error,Low,Open,2025-01-14,,,351.0,14,London,EMEA,Operations,Discretionary,,0,Over SLA,Manual,Core Banking,
E0000730,High-Risk Transaction,High,Open,2025-01-14,,,351.0,10,London,EMEA,Front Office,Execution-only,187501.50019025372,0,Over SLA; High/Critical Severity,System,Email Intake,
E0000745,High-Risk Transaction,Medium,Open,2025-01-14,,,351.0,10,Singapore,APAC,Front Office,Lombard Lending,117121.24824967586,0,Over SLA,Process,Workflow,
E0000768,Processing Error,Low,Open,2025-01-15,,,350.0,14,Zurich,EMEA,Operations,Execution-only,,0,Over SLA,Process,Monitoring Tool,
E0000790,High-Risk Transaction,Medium,Open,2025-01-15,,,350.0,10,New York,Americas,Front Office,Advisory,182062.29404601816,0,Over SLA,Policy/Guidance,Monitoring Tool,
E0000802,Reconciliation Break,Low,Open,2025-01-15,,,350.0,7,New York,Americas,Client Onboarding,Execution-only,33658.09530290126,0,Over SLA,Manual,Workflow,
E0000829,Data Quality Issue,Low,Open,2025-01-16,,,349.0,14,Zurich,EMEA,Front Office,Discretionary,,0,Over SLA,Process,Email Intake,
E0000834,Data Quality Issue,Low,Open,2025-01-16,,,349.0,14,Zurich,EMEA,Client Onboarding,Execution-only,21047.10941023381,0,Over SLA,Third-party,Workflow,
E0000842,Processing Error,Low,Open,2025-01-16,,,349.0,14,Geneva,EMEA,Operations,Execution-only,,0,Over SLA,Policy/Guidance,Monitoring Tool,
E0000844,Processing Error,Low,Open,2025-01-16,,,349.0,14,Geneva,EMEA,Operations,Lombard Lending,8124.851080152515,0,Over SLA,Manual,Email Intake,
E0000848,Limit Breach,High,Open,2025-01-16,,,349.0,10,London,EMEA,Front Office,Discretionary,56601.58885714284,0,Over SLA; High/Critical Severity,Process,Core Banking,
E0000860,High-Risk Transaction,Low,Open,2025-01-16,,,349.0,10,New York,Americas,Front Office,Discretionary,24211.648960714927,0,Over SLA,Manual,CRM,
E0000865,Processing Error,Low,Open,2025-01-16,,,349.0,14,New York,Americas,Operations,Execution-only,,0,Over SLA,Process,CRM,
E0000870,High-Risk Transaction,High,Open,2025-01-16,,,349.0,10,New York,Americas,Front Office,Structured Products,71261.16848332057,0,Over SLA; High/Critical Severity,Process,Email Intake,
E0000884,Incident,High,Open,2025-01-16,,,349.0,30,Hong Kong,APAC,Front Office,Discretionary,,0,Over SLA; High/Critical Severity,System,Core Banking,
E0000893,High-Risk Transaction,Low,Open,2025-01-16,,,349.0,10,Hong Kong,APAC,Client Onboarding,Structured Products,13867.85384569935,0,Over SLA,System,Core Banking,
E0000918,Processing Error,High,Open,2025-01-17,,,348.0,14,Geneva,EMEA,Operations,Structured Products,,0,Over SLA; High/Critical Severity,Manual,Core Banking,
E0000928,Data Quality Issue,High,Open,2025-01-17,,,348.0,14,New York,Americas,Client Onboarding,Discretionary,,1,Over SLA; High/Critical Severity; Missing Mandatory Fields,System,CRM,
E0000938,Processing Error,Low,Open,2025-01-17,,,348.0,14,Singapore,APAC,Operations,Discretionary,,0,Over SLA,Process,CRM,
E0000959,Processing Error,Critical,Open,2025-01-18,,,347.0,14,Geneva,EMEA,Operations,Advisory,33422.77813805639,0,Over SLA; High/Critical Severity,Data,Email Intake,
E0000962,Processing Error,Low,Open,2025-01-18,,,347.0,14,Geneva,EMEA,Operations,Execution-only,,0,Over SLA,Process,Workflow,
E0000967,High-Risk Transaction,Low,Open,2025-01-18,,,347.0,10,London,EMEA,Front Office,Execution-only,68339.75462752677,0,Over SLA,System,CRM,
E0000972,Processing Error,Low,Open,2025-01-18,,,347.0,14,London,EMEA,Operations,Execution-only,6052.618507644738,0,Over SLA,Process,Core Banking,
E0000973,Processing Error,Low,Open,2025-01-18,,,347.0,14,London,EMEA,Operations,Execution-only,,0,Over SLA,System,Email Intake,
E0000981,High-Risk Transaction,Medium,Open,2025-01-18,,,347.0,10,New York,Americas,Front Office,Discretionary,8682.158032499636,0,Over SLA,Data,Core Banking,
E0000993,Processing Error,Medium,Open,2025-01-18,,,347.0,14,Singapore,APAC,Front Office,Lombard Lending,,0,Over SLA,Process,CRM,
E0000997,Incident,Low,Open,2025-01-18,,,347.0,30,Hong Kong,APAC,Operations,Advisory,27531.946317113092,0,Over SLA,Policy/Guidance,Workflow,
E0000999,High-Risk Transaction,High,Open,2025-01-18,,,347.0,10,Hong Kong,APAC,Operations,Discretionary,10459.726564998391,0,Over SLA; High/Critical Severity,Third-party,Monitoring Tool,
E0001002,High-Risk Transaction,Low,Open,2025-01-18,,,347.0,10,Hong Kong,APAC,Front Office,Structured Products,36545.62945950837,0,Over SLA,Manual,Workflow,
E0001019,Processing Error,High,Open,2025-01-19,,,346.0,14,Geneva,EMEA,Operations,Structured Products,,0,Over SLA; High/Critical Severity,Manual,Email Intake,
E0001046,High-Risk Transaction,Low,Open,2025-01-19,,,346.0,10,Singapore,APAC,Front Office,Advisory,205557.59581347156,0,Over SLA,Manual,Workflow,
E0001063,Overdue Task,Low,Open,2025-01-20,2025-01-27,,345.0,7,Zurich,EMEA,Front Office,Discretionary,,0,Over SLA; Overdue,Third-party,Email Intake,Affluent
E0001064,Processing Error,Low,Open,2025-01-20,,,345.0,14,Zurich,EMEA,Operations,Discretionary,,0,Over SLA,Process,Workflow,
E0001085,High-Risk Transaction,Medium,Open,2025-01-20,,,345.0,10,London,EMEA,Client Onboarding,Discretionary,289156.37596194627,0,Over SLA; High Amount >250k,Third-party,CRM,
E0001109,Reconciliation Break,Low,Open,2025-01-20,,,345.0,7,Hong Kong,APAC,Operations,Execution-only,29905.412491899733,1,Over SLA; Missing Mandatory Fields,System,Monitoring Tool,
E0001113,Reconciliation Break,High,Open,2025-01-21,,,344.0,7,Zurich,EMEA,Front Office,Discretionary,36673.962922154686,0,Over SLA; High/Critical Severity,Manual,Email Intake,
E0001130,High-Risk Transaction,High,Open,2025-01-21,,,344.0,10,London,EMEA,Client Onboarding,Advisory,23323.27655105311,0,Over SLA; High/Critical Severity,Policy/Guidance,Monitoring Tool,
E0001159,Processing Error,Low,Open,2025-01-21,,,344.0,14,Singapore,APAC,Operations,Execution-only,,1,Over SLA; Missing Mandatory Fields,Process,CRM,
E0001161,Incident,Critical,Open,2025-01-21,,,344.0,30,Singapore,APAC,Compliance & Controls,Execution-only,,0,Over SLA; High/Critical Severity,System,Core Banking,
E0001167,KYC Review Overdue,Medium,Open,2025-01-21,2025-02-20,,344.0,30,Hong Kong,APAC,Front Office,Execution-only,,0,Over SLA; Overdue,Process,CRM,HNW
E0001171,High-Risk Transaction,Medium,Open,2025-01-22,,,343.0,10,Zurich,EMEA,Front Office,Advisory,84271.33778220667,0,Over SLA,System,CRM,
E0001175,Data Quality Issue,Low,Open,2025-01-22,,,343.0,14,Zurich,EMEA,Client Onboarding,Discretionary,,0,Over SLA,Manual,Monitoring Tool,
E0001176,Processing Error,Medium,Open,2025-01-22,,,343.0,14,Zurich,EMEA,Front Office,Execution-only,,0,Over SLA,Process,CRM,
E0001177,Processing Error,High,Open,2025-01-22,,,343.0,14,Zurich,EMEA,Operations,Execution-only,7250.957851317483,0,Over SLA; High/Critical Severity,Process,Email Intake,
E0001185,High-Risk Transaction,Medium,Open,2025-01-22,,,343.0,10,Geneva,EMEA,Front Office,Discretionary,64678.61090580822,0,Over SLA,Process,Core Banking,
E0001198,Processing Error,Medium,Open,2025-01-22,,,343.0,14,London,EMEA,Client Onboarding,Advisory,,0,Over SLA,Manual,CRM,
E0001238,Processing Error,Low,Open,2025-01-23,,,342.0,14,Zurich,EMEA,Operations,Advisory,,0,Over SLA,Process,Email Intake,
E0001240,Overdue Task,Critical,Open,2025-01-23,2025-01-30,,342.0,7,Zurich,EMEA,Operations,Discretionary,,0,Over SLA; Overdue; High/Critical Severity,System,Workflow,HNW
E0001263,Incident,Medium,Open,2025-01-23,,,342.0,30,London,EMEA,Operations,Execution-only,28291.485849449324,0,Over SLA,Process,CRM,
E0001280,High-Risk Transaction,High,Open,2025-01-23,,,342.0,10,Singapore,APAC,Front Office,Execution-only,94190.93898247735,0,Over SLA; High/Critical Severity,System,Core Banking,
E0001289,Data Quality Issue,Low,Open,2025-01-23,,,342.0,14,Hong Kong,APAC,Client Onboarding,Advisory,,0,Over SLA,Manual,Workflow,
E0001293,Reconciliation Break,Low,Open,2025-01-23,,,342.0,7,Hong Kong,APAC,Operations,Execution-only,16484.604749108104,0,Over SLA,Third-party,Core Banking,
E0001308,Processing Error,Low,Open,2025-01-24,,,341.0,14,Geneva,EMEA,Front Office,Discretionary,,0,Over SLA,Third-party,Workflow,
E0001319,Data Quality Issue,Medium,Open,2025-01-24,,,341.0,14,London,EMEA,Client Onboarding,Advisory,,0,Over SLA,Third-party,Email Intake,
E0001341,Incident,Low,Open,2025-01-24,,,341.0,30,New York,Americas,Operations,Lombard Lending,,0,Over SLA,Manual,CRM,
E0001342,Processing Error,Medium,Open,2025-01-24,,,341.0,14,New York,Americas,Operations,Lombard Lending,24573.336874824257,0,Over SLA,System,Core Banking,
E0001368,High-Risk Transaction,Critical,Open,2025-01-25,,,340.0,10,Zurich,EMEA,Operations,Execution-only,15609.905510235463,0,Over SLA; High/Critical Severity,Process,CRM,
E0001379,High-Risk Transaction,Low,Open,2025-01-25,,,340.0,10,New York,Americas,Front Office,Advisory,53159.152790077846,0,Over SLA,Third-party,Core Banking,
E0001382,Data Quality Issue,Medium,Open,2025-01-25,,,340.0,14,New York,Americas,Operations,Execution-only,,2,Over SLA; Missing Mandatory Fields,Third-party,Monitoring Tool,
E0001384,Processing Error,Low,Open,2025-01-25,,,340.0,14,Singapore,APAC,Front Office,Discretionary,,0,Over SLA,Manual,Email Intake,
E0001385,Processing Error,Low,Open,2025-01-25,,,340.0,14,Singapore,APAC,Front Office,Discretionary,,0,Over SLA,Policy/Guidance,CRM,
E0001389,High-Risk Transaction,Low,Open,2025-01-25,,,340.0,10,Singapore,APAC,Front Office,Execution-only,88299.06319569921,0,Over SLA,Manual,Core Banking,
E0001405,Incident,Medium,Open,2025-01-26,,,339.0,30,Zurich,EMEA,Client Onboarding,Execution-only,,0,Over SLA,Process,Workflow,
E0001408,Limit Breach,Low,Open,2025-01-26,,,339.0,10,London,EMEA,Front Office,Discretionary,45735.99328862435,0,Over SLA,Process,Core Banking,
E0001417,High-Risk Transaction,Medium,Open,2025-01-26,,,339.0,10,New York,Americas,Front Office,Discretionary,46844.3370534119,0,Over SLA,System,Core Banking,
E0001426,High-Risk Transaction,High,Open,2025-01-26,,,339.0,10,New York,Americas,Front Office,Lombard Lending,92925.77279437994,0,Over SLA; High/Critical Severity,Process,Core Banking,
E0001427,Reconciliation Break,High,Open,2025-01-26,,,339.0,7,New York,Americas,Operations,Lombard Lending,15995.917866116191,0,Over SLA; High/Critical Severity,Policy/Guidance,CRM,
E0001434,Reconciliation Break,High,Open,2025-01-26,,,339.0,7,Singapore,APAC,Operations,Structured Products,27895.29203649587,0,Over SLA; High/Critical Severity,Data,Email Intake,
E0001437,Incident,High,Open,2025-01-26,,,339.0,30,Hong Kong,APAC,Operations,Structured Products,,0,Over SLA; High/Critical Severity,System,Email Intake,
E0001450,Data Quality Issue,Low,Open,2025-01-27,,,338.0,14,Zurich,EMEA,Client Onboarding,Lombard Lending,,0,Over SLA,System,Email Intake,
E0001485,High-Risk Transaction,Low,Open,2025-01-27,,,338.0,10,New York,Americas,Front Office,Structured Products,109250.59928306898,0,Over SLA,Manual,Workflow,
E0001489,High-Risk Transaction,Medium,Open,2025-01-27,,,338.0,10,Singapore,APAC,Front Office,Execution-only,40830.24537926531,0,Over SLA,Third-party,Monitoring Tool,
E0001493,Data Quality Issue,High,Open,2025-01-27,,,338.0,14,Hong Kong,APAC,Front Office,Execution-only,28000.885813796107,1,Over SLA; High/Critical Severity; Missing Mandatory Fields,System,Email Intake,
E0001510,Processing Error,Medium,Open,2025-01-28,,,337.0,14,Geneva,EMEA,Front Office,Discretionary,21834.318923116924,0,Over SLA,Process,Core Banking,
E0001548,KYC Review Overdue,Medium,Open,2025-01-28,2025-02-27,,337.0,30,Hong Kong,APAC,Compliance & Controls,Structured Products,,0,Over SLA; Overdue,System,Workflow,HNW
E0001579,Processing Error,High,Open,2025-01-29,,,336.0,14,London,EMEA,Operations,Execution-only,,0,Over SLA; High/Critical Severity,System,Core Banking,
E0001607,Incident,Medium,Open,2025-01-29,,,336.0,30,Hong Kong,APAC,Operations,Execution-only,,0,Over SLA,Manual,Core Banking,
E0001615,High-Risk Transaction,Low,Open,2025-01-30,,,335.0,10,Zurich,EMEA,Front Office,Lombard Lending,26314.235951029073,0,Over SLA,System,Email Intake,
E0001639,Limit Breach,Low,Open,2025-01-30,,,335.0,10,London,EMEA,Front Office,Lombard Lending,16402.919698183407,0,Over SLA,Process,Email Intake,
E0001640,Processing Error,Low,Open,2025-01-30,,,335.0,14,London,EMEA,Operations,Lombard Lending,,0,Over SLA,Manual,Email Intake,
E0001643,Processing Error,Low,Open,2025-01-30,,,335.0,14,New York,Americas,Operations,Advisory,,0,Over SLA,Process,Workflow,
E0001659,Processing Error,Low,Open,2025-01-30,,,335.0,14,Singapore,APAC,Operations,Discretionary,23328.31384405203,0,Over SLA,Process,Monitoring Tool,
E0001662,Data Quality Issue,Medium,Open,2025-01-30,,,335.0,14,Singapore,APAC,Operations,Lombard Lending,5420.3465441719,1,Over SLA; Missing Mandatory Fields,System,Monitoring Tool,
E0001664,Data Quality Issue,Low,Open,2025-01-30,,,335.0,14,Singapore,APAC,Operations,Structured Products,,0,Over SLA,Process,Monitoring Tool,
E0001668,Reconciliation Break,Critical,Open,2025-01-30,,,335.0,7,Hong Kong,APAC,Operations,Advisory,7141.726874692167,0,Over SLA; High/Critical Severity,System,Monitoring Tool,
E0001669,Limit Breach,Critical,Open,2025-01-30,,,335.0,10,Hong Kong,APAC,Operations,Discretionary,381284.68970081786,0,Over SLA; High/Critical Severity; High Amount >250k,Process,Monitoring Tool,
E0001670,Processing Error,Low,Open,2025-01-30,,,335.0,14,Hong Kong,APAC,Operations,Execution-only,,0,Over SLA,Process,Monitoring Tool,
E0001683,Processing Error,High,Open,2025-01-31,,,334.0,14,Zurich,EMEA,Operations,Lombard Lending,,0,Over SLA; High/Critical Severity,Process,Workflow,
E0001689,High-Risk Transaction,Low,Open,2025-01-31,,,334.0,10,Geneva,EMEA,Operations,Execution-only,49492.289893089255,0,Over SLA,System,Email Intake,
E0001693,Incident,Low,Open,2025-01-31,,,334.0,30,London,EMEA,Compliance & Controls,Execution-only,2588.354026616281,0,Over SLA,Manual,Workflow,
E0001697,Processing Error,Low,Open,2025-01-31,,,334.0,14,New York,Americas,Operations,Discretionary,,0,Over SLA,System,Email Intake,
E0001699,Processing Error,Low,Open,2025-01-31,,,334.0,14,New York,Americas,Front Office,Execution-only,,0,Over SLA,Third-party,CRM,
E0001700,Incident,Medium,Open,2025-01-31,,,334.0,30,New York,Americas,Operations,Execution-only,,0,Over SLA,Manual,Monitoring Tool,
