YearMonth,Region,BookingLocation,Team,Product,RiskScore_0to100
2025-01,Americas,New York,Front Office,Structured Products,15.909090909090908
2025-01,Americas,New York,Operations,Advisory,30.454545454545457
2025-01,Americas,New York,Operations,Discretionary,36.81818181818181
2025-01,Americas,New York,Operations,Execution-only,24.545454545454547
2025-01,Americas,New York,Operations,Lombard Lending,36.36363636363637
2025-01,Americas,New York,Operations,Structured Products,11.818181818181818
2025-01,EMEA,Geneva,Client Onboarding,Advisory,5.454545454545453
2025-01,EMEA,Geneva,Client Onboarding,Discretionary,5.454545454545453
2025-01,EMEA,Geneva,Client Onboarding,Execution-only,8.636363636363635
2025-01,EMEA,Geneva,Client Onboarding,Lombard Lending,12.727272727272728
2025-01,EMEA,Geneva,Client Onboarding,Structured Products,0.0
2025-01,EMEA,Geneva,Compliance & Controls,Advisory,10.909090909090907
2025-01,EMEA,Geneva,Compliance & Controls,Discretionary,5.454545454545453
2025-01,EMEA,Geneva,Compliance & Controls,Execution-only,13.636363636363638
2025-01,EMEA,Geneva,Compliance & Controls,Lombard Lending,7.2727272727272725
2025-01,EMEA,Geneva,Compliance & Controls,Structured Products,7.2727272727272725
2025-01,EMEA,Geneva,Front Office,Advisory,6.363636363636364
2025-01,EMEA,Geneva,Front Office,Discretionary,19.545454545454543
2025-01,EMEA,Geneva,Front Office,Execution-only,15.909090909090907
2025-01,EMEA,Geneva,Front Office,Lombard Lending,10.454545454545453
2025-01,EMEA,Geneva,Front Office,Structured Products,9.090909090909092
2025-01,EMEA,Geneva,Operations,Advisory,23.636363636363637
2025-01,EMEA,Geneva,Operations,Discretionary,23.636363636363637
2025-01,EMEA,Geneva,Operations,Execution-only,25.0
2025-01,EMEA,Geneva,Operations,Lombard Lending,17.27272727272727
2025-01,EMEA,Geneva,Operations,Structured Products,23.636363636363637
2025-01,EMEA,London,Client Onboarding,Advisory,23.18181818181818
2025-01,EMEA,London,Client Onboarding,Discretionary,14.545454545454545
2025-01,EMEA,London,Client Onboarding,Execution-only,18.181818181818183
2025-01,EMEA,London,Client Onboarding,Lombard Lending,5.454545454545453
2025-01,EMEA,London,Client Onboarding,Structured Products,13.18181818181818
2025-01,EMEA,London,Compliance & Controls,Advisory,16.818181818181817
2025-01,EMEA,London,Compliance & Controls,Discretionary,2.7272727272727266
2025-01,EMEA,London,Compliance & Controls,Execution-only,38.63636363636363
2025-01,EMEA,London,Compliance & Controls,Lombard Lending,16.818181818181817
2025-01,EMEA,London,Compliance & Controls,Structured Products,5.454545454545453
2025-01,EMEA,London,Front Office,Advisory,25.0
2025-01,EMEA,London,Front Office,Discretionary,15.909090909090907
2025-01,EMEA,London,Front Office,Execution-only,20.454545454545457
2025-01,EMEA,London,Front Office,Lombard Lending,18.181818181818183
2025-01,EMEA,London,Front Office,Structured Products,17.27272727272727
2025-01,EMEA,London,Operations,Advisory,30.000000000000004
2025-01,EMEA,London,Operations,Discretionary,27.727272727272723
2025-01,EMEA,London,Operations,Execution-only,36.36363636363637
2025-01,EMEA,London,Operations,Lombard Lending,21.36363636363636
2025-01,EMEA,London,Operations,Structured Products,22.272727272727273
2025-01,EMEA,Zurich,Client Onboarding,Advisory,20.909090909090907
2025-01,EMEA,Zurich,Client Onboarding,Discretionary,21.818181818181813
2025-01,EMEA,Zurich,Client Onboarding,Execution-only,16.36363636363636
2025-01,EMEA,Zurich,Client Onboarding,Lombard Lending,19.545454545454543
2025-01,EMEA,Zurich,Client Onboarding,Structured Products,19.545454545454543
2025-01,EMEA,Zurich,Compliance & Controls,Advisory,8.18181818181818
2025-01,EMEA,Zurich,Compliance & Controls,Discretionary,16.36363636363636
2025-01,EMEA,Zurich,Compliance & Controls,Execution-only,8.636363636363635
2025-01,EMEA,Zurich,Compliance & Controls,Lombard Lending,5.454545454545453
2025-01,EMEA,Zurich,Compliance & Controls,Structured Products,7.2727272727272725
2025-01,EMEA,Zurich,Front Office,Advisory,15.454545454545453
2025-01,EMEA,Zurich,Front Office,Discretionary,26.363636363636367
2025-01,EMEA,Zurich,Front Office,Execution-only,16.36363636363636
2025-01,EMEA,Zurich,Front Office,Lombard Lending,8.636363636363635
2025-01,EMEA,Zurich,Front Office,Structured Products,29.54545454545454
2025-01,EMEA,Zurich,Operations,Advisory,19.09090909090909
2025-01,EMEA,Zurich,Operations,Discretionary,22.727272727272727
2025-01,EMEA,Zurich,Operations,Execution-only,23.636363636363637
2025-01,EMEA,Zurich,Operations,Lombard Lending,13.636363636363635
2025-01,EMEA,Zurich,Operations,Structured Products,24.09090909090909
2025-02,APAC,Hong Kong,Client Onboarding,Advisory,10.0
2025-02,APAC,Hong Kong,Client Onboarding,Discretionary,8.636363636363635
2025-02,APAC,Hong Kong,Client Onboarding,Execution-only,19.545454545454543
2025-02,APAC,Hong Kong,Client Onboarding,Lombard Lending,10.0
2025-02,APAC,Hong Kong,Client Onboarding,Structured Products,10.909090909090907
2025-02,APAC,Hong Kong,Compliance & Controls,Advisory,5.454545454545453
2025-02,APAC,Hong Kong,Compliance & Controls,Discretionary,0.0
2025-02,APAC,Hong Kong,Compliance & Controls,Execution-only,15.909090909090908
2025-02,APAC,Hong Kong,Compliance & Controls,Lombard Lending,0.0
2025-02,APAC,Hong Kong,Compliance & Controls,Structured Products,19.090909090909093
2025-02,APAC,Hong Kong,Front Office,Advisory,9.090909090909092
2025-02,APAC,Hong Kong,Front Office,Discretionary,26.818181818181813
2025-02,APAC,Hong Kong,Front Office,Execution-only,39.54545454545455
2025-02,APAC,Hong Kong,Front Office,Lombard Lending,3.6363636363636362
2025-02,APAC,Hong Kong,Front Office,Structured Products,12.272727272727273
2025-02,APAC,Hong Kong,Operations,Advisory,33.63636363636363
2025-02,APAC,Hong Kong,Operations,Discretionary,22.727272727272727
2025-02,APAC,Hong Kong,Operations,Execution-only,20.454545454545453
2025-02,APAC,Hong Kong,Operations,Lombard Lending,19.545454545454543
2025-02,APAC,Hong Kong,Operations,Structured Products,41.36363636363637
2025-02,APAC,Singapore,Client Onboarding,Advisory,17.27272727272727
2025-02,APAC,Singapore,Client Onboarding,Discretionary,6.363636363636364
2025-02,APAC,Singapore,Client Onboarding,Execution-only,6.818181818181819
2025-02,APAC,Singapore,Client Onboarding,Lombard Lending,6.363636363636364
2025-02,APAC,Singapore,Client Onboarding,Structured Products,13.636363636363638
2025-02,APAC,Singapore,Compliance & Controls,Advisory,16.36363636363636
2025-02,APAC,Singapore,Compliance & Controls,Discretionary,0.0
2025-02,APAC,Singapore,Compliance & Controls,Execution-only,23.636363636363637
2025-02,APAC,Singapore,Compliance & Controls,Lombard Lending,0.0
2025-02,APAC,Singapore,Compliance & Controls,Structured Products,11.818181818181818
2025-02,APAC,Singapore,Front Office,Advisory,30.45454545454545
2025-02,APAC,Singapore,Front Office,Discretionary,16.818181818181817
2025-02,APAC,Singapore,Front Office,Execution-only,23.636363636363637
2025-02,APAC,Singapore,Front Office,Lombard Lending,29.090909090909093
2025-02,APAC,Singapore,Front Office,Structured Products,20.454545454545453
2025-02,APAC,Singapore,Operations,Advisory,24.09090909090909
2025-02,APAC,Singapore,Operations,Discretionary,23.636363636363637
2025-02,APAC,Singapore,Operations,Execution-only,22.727272727272727
2025-02,APAC,Singapore,Operations,Lombard Lending,19.09090909090909
2025-02,APAC,Singapore,Operations,Structured Products,24.09090909090909
2025-02,Americas,New York,Client Onboarding,Advisory,26.363636363636367
2025-02,Americas,New York,Client Onboarding,Discretionary,21.818181818181813
2025-02,Americas,New York,Client Onboarding,Execution-only,10.909090909090907
2025-02,Americas,New York,Client Onboarding,Lombard Lending,2.7272727272727266
2025-02,Americas,New York,Client Onboarding,Structured Products,19.545454545454543
2025-02,Americas,New York,Compliance & Controls,Advisory,8.18181818181818
2025-02,Americas,New York,Compliance & Controls,Discretionary,18.636363636363633
2025-02,Americas,New York,Compliance & Controls,Execution-only,14.545454545454545
2025-02,Americas,New York,Compliance & Controls,Lombard Lending,19.090909090909093
2025-02,Americas,New York,Compliance & Controls,Structured Products,13.18181818181818
2025-02,Americas,New York,Front Office,Advisory,24.09090909090909
2025-02,Americas,New York,Front Office,Discretionary,19.545454545454543
2025-02,Americas,New York,Front Office,Execution-only,15.909090909090907
2025-02,Americas,New York,Front Office,Lombard Lending,19.545454545454543
2025-02,Americas,New York,Front Office,Structured Products,20.909090909090907
2025-02,Americas,New York,Operations,Advisory,22.727272727272727
2025-02,Americas,New York,Operations,Discretionary,24.545454545454547
2025-02,Americas,New York,Operations,Execution-only,41.81818181818181
2025-02,Americas,New York,Operations,Lombard Lending,36.36363636363637
2025-02,Americas,New York,Operations,Structured Products,36.36363636363637
2025-02,EMEA,Geneva,Client Onboarding,Advisory,11.818181818181818
2025-02,EMEA,Geneva,Client Onboarding,Discretionary,11.818181818181818
2025-02,EMEA,Geneva,Client Onboarding,Execution-only,23.18181818181818
2025-02,EMEA,Geneva,Client Onboarding,Lombard Lending,15.0
2025-02,EMEA,Geneva,Client Onboarding,Structured Products,29.54545454545454
2025-02,EMEA,Geneva,Compliance & Controls,Advisory,3.6363636363636362
2025-02,EMEA,Geneva,Compliance & Controls,Discretionary,10.454545454545453
2025-02,EMEA,Geneva,Compliance & Controls,Execution-only,5.909090909090909
2025-02,EMEA,Geneva,Compliance & Controls,Lombard Lending,11.818181818181818
2025-02,EMEA,Geneva,Compliance & Controls,Structured Products,13.18181818181818
2025-02,EMEA,Geneva,Front Office,Advisory,16.818181818181817
2025-02,EMEA,Geneva,Front Office,Discretionary,16.36363636363636
2025-02,EMEA,Geneva,Front Office,Execution-only,25.454545454545457
2025-02,EMEA,Geneva,Front Office,Lombard Lending,9.090909090909092
2025-02,EMEA,Geneva,Front Office,Structured Products,10.454545454545453
2025-02,EMEA,Geneva,Operations,Advisory,40.9090909090909
2025-02,EMEA,Geneva,Operations,Discretionary,39.09090909090909
2025-02,EMEA,Geneva,Operations,Execution-only,28.181818181818187
2025-02,EMEA,Geneva,Operations,Lombard Lending,33.18181818181819
2025-02,EMEA,Geneva,Operations,Structured Products,21.818181818181813
2025-02,EMEA,London,Client Onboarding,Advisory,12.272727272727273
2025-02,EMEA,London,Client Onboarding,Discretionary,21.818181818181817
2025-02,EMEA,London,Client Onboarding,Execution-only,29.54545454545454
2025-02,EMEA,London,Client Onboarding,Lombard Lending,22.272727272727273
2025-02,EMEA,London,Client Onboarding,Structured Products,34.09090909090909
2025-02,EMEA,London,Compliance & Controls,Advisory,23.636363636363637
2025-02,EMEA,London,Compliance & Controls,Discretionary,11.363636363636363
2025-02,EMEA,London,Compliance & Controls,Execution-only,30.909090909090907
2025-02,EMEA,London,Compliance & Controls,Lombard Lending,10.909090909090907
2025-02,EMEA,London,Compliance & Controls,Structured Products,20.454545454545453
2025-02,EMEA,London,Front Office,Advisory,17.27272727272727
2025-02,EMEA,London,Front Office,Discretionary,14.09090909090909
2025-02,EMEA,London,Front Office,Execution-only,25.0
2025-02,EMEA,London,Front Office,Lombard Lending,17.27272727272727
2025-02,EMEA,London,Front Office,Structured Products,12.727272727272728
2025-02,EMEA,London,Operations,Advisory,25.454545454545457
2025-02,EMEA,London,Operations,Discretionary,16.36363636363636
2025-02,EMEA,London,Operations,Execution-only,29.09090909090909
2025-02,EMEA,London,Operations,Lombard Lending,31.818181818181813
2025-02,EMEA,London,Operations,Structured Products,17.27272727272727
2025-02,EMEA,Zurich,Client Onboarding,Advisory,6.818181818181819
2025-02,EMEA,Zurich,Client Onboarding,Discretionary,25.90909090909091
2025-02,EMEA,Zurich,Client Onboarding,Execution-only,29.09090909090909
2025-02,EMEA,Zurich,Client Onboarding,Lombard Lending,5.454545454545453
2025-02,EMEA,Zurich,Client Onboarding,Structured Products,8.636363636363635
2025-02,EMEA,Zurich,Compliance & Controls,Advisory,6.818181818181819
2025-02,EMEA,Zurich,Compliance & Controls,Discretionary,15.0
2025-02,EMEA,Zurich,Compliance & Controls,Execution-only,3.6363636363636362
2025-02,EMEA,Zurich,Compliance & Controls,Lombard Lending,12.727272727272728
2025-02,EMEA,Zurich,Compliance & Controls,Structured Products,0.0
2025-02,EMEA,Zurich,Front Office,Advisory,15.909090909090907
2025-02,EMEA,Zurich,Front Office,Discretionary,23.636363636363637
2025-02,EMEA,Zurich,Front Office,Execution-only,25.0
2025-02,EMEA,Zurich,Front Office,Lombard Lending,10.454545454545453
2025-02,EMEA,Zurich,Front Office,Structured Products,12.727272727272728
2025-02,EMEA,Zurich,Operations,Advisory,27.727272727272727
2025-02,EMEA,Zurich,Operations,Discretionary,32.727272727272734
2025-02,EMEA,Zurich,Operations,Execution-only,30.909090909090914
2025-02,EMEA,Zurich,Operations,Lombard Lending,17.27272727272727
2025-02,EMEA,Zurich,Operations,Structured Products,27.27272727272727
2025-03,APAC,Hong Kong,Client Onboarding,Advisory,11.363636363636363
2025-03,APAC,Hong Kong,Client Onboarding,Discretionary,35.90909090909091
2025-03,APAC,Hong Kong,Client Onboarding,Execution-only,33.63636363636364
2025-03,APAC,Hong Kong,Client Onboarding,Lombard Lending,10.909090909090907
2025-03,APAC,Hong Kong,Client Onboarding,Structured Products,15.454545454545451
2025-03,APAC,Hong Kong,Compliance & Controls,Advisory,14.545454545454545
2025-03,APAC,Hong Kong,Compliance & Controls,Discretionary,5.454545454545453
2025-03,APAC,Hong Kong,Compliance & Controls,Execution-only,8.18181818181818
2025-03,APAC,Hong Kong,Compliance & Controls,Lombard Lending,0.0
2025-03,APAC,Hong Kong,Compliance & Controls,Structured Products,13.636363636363638
2025-03,APAC,Hong Kong,Front Office,Advisory,20.0
2025-03,APAC,Hong Kong,Front Office,Discretionary,14.545454545454545
2025-03,APAC,Hong Kong,Front Office,Execution-only,28.636363636363637
2025-03,APAC,Hong Kong,Front Office,Lombard Lending,23.636363636363637
2025-03,APAC,Hong Kong,Front Office,Structured Products,19.09090909090909
2025-03,APAC,Hong Kong,Operations,Advisory,42.72727272727272
2025-03,APAC,Hong Kong,Operations,Discretionary,37.72727272727272
2025-03,APAC,Hong Kong,Operations,Execution-only,56.81818181818181
2025-03,APAC,Hong Kong,Operations,Lombard Lending,21.36363636363636
2025-03,APAC,Hong Kong,Operations,Structured Products,35.90909090909091
2025-03,APAC,Singapore,Client Onboarding,Advisory,14.09090909090909
2025-03,APAC,Singapore,Client Onboarding,Discretionary,33.18181818181819
2025-03,APAC,Singapore,Client Onboarding,Execution-only,16.818181818181817
2025-03,APAC,Singapore,Client Onboarding,Lombard Lending,5.454545454545453
2025-03,APAC,Singapore,Client Onboarding,Structured Products,6.363636363636364
2025-03,APAC,Singapore,Compliance & Controls,Advisory,15.454545454545453
2025-03,APAC,Singapore,Compliance & Controls,Discretionary,5.454545454545453
2025-03,APAC,Singapore,Compliance & Controls,Execution-only,38.63636363636363
2025-03,APAC,Singapore,Compliance & Controls,Lombard Lending,0.0
2025-03,APAC,Singapore,Compliance & Controls,Structured Products,18.636363636363633
2025-03,APAC,Singapore,Front Office,Advisory,36.81818181818181
2025-03,APAC,Singapore,Front Office,Discretionary,44.54545454545455
2025-03,APAC,Singapore,Front Office,Execution-only,21.818181818181813
2025-03,APAC,Singapore,Front Office,Lombard Lending,10.0
2025-03,APAC,Singapore,Front Office,Structured Products,30.45454545454545
2025-03,APAC,Singapore,Operations,Advisory,19.09090909090909
2025-03,APAC,Singapore,Operations,Discretionary,33.63636363636363
2025-03,APAC,Singapore,Operations,Execution-only,27.272727272727277
2025-03,APAC,Singapore,Operations,Lombard Lending,29.54545454545454
2025-03,APAC,Singapore,Operations,Structured Products,19.545454545454543
2025-03,Americas,New York,Client Onboarding,Advisory,11.818181818181818
2025-03,Americas,New York,Client Onboarding,Discretionary,18.636363636363637
2025-03,Americas,New York,Client Onboarding,Execution-only,22.727272727272727
2025-03,Americas,New York,Client Onboarding,Lombard Lending,3.181818181818182
2025-03,Americas,New York,Client Onboarding,Structured Products,0.0
2025-03,Americas,New York,Compliance & Controls,Advisory,2.7272727272727266
2025-03,Americas,New York,Compliance & Controls,Discretionary,29.54545454545454
2025-03,Americas,New York,Compliance & Controls,Execution-only,24.09090909090909
2025-03,Americas,New York,Compliance & Controls,Lombard Lending,10.909090909090907
2025-03,Americas,New York,Compliance & Controls,Structured Products,0.0
2025-03,Americas,New York,Front Office,Advisory,17.27272727272727
2025-03,Americas,New York,Front Office,Discretionary,33.18181818181818
2025-03,Americas,New York,Front Office,Execution-only,36.81818181818182
2025-03,Americas,New York,Front Office,Lombard Lending,26.363636363636367
2025-03,Americas,New York,Front Office,Structured Products,20.454545454545453
2025-03,Americas,New York,Operations,Advisory,38.18181818181819
2025-03,Americas,New York,Operations,Discretionary,37.27272727272727
2025-03,Americas,New York,Operations,Execution-only,35.45454545454545
2025-03,Americas,New York,Operations,Lombard Lending,42.272727272727266
2025-03,Americas,New York,Operations,Structured Products,32.72727272727272
2025-03,EMEA,Geneva,Client Onboarding,Advisory,21.363636363636363
2025-03,EMEA,Geneva,Client Onboarding,Discretionary,31.818181818181817
2025-03,EMEA,Geneva,Client Onboarding,Execution-only,14.545454545454545
2025-03,EMEA,Geneva,Client Onboarding,Lombard Lending,17.727272727272727
2025-03,EMEA,Geneva,Client Onboarding,Structured Products,13.636363636363638
2025-03,EMEA,Geneva,Compliance & Controls,Advisory,19.09090909090909
2025-03,EMEA,Geneva,Compliance & Controls,Discretionary,14.09090909090909
2025-03,EMEA,Geneva,Compliance & Controls,Execution-only,0.0
2025-03,EMEA,Geneva,Compliance & Controls,Lombard Lending,5.454545454545453
2025-03,EMEA,Geneva,Compliance & Controls,Structured Products,0.0
2025-03,EMEA,Geneva,Front Office,Advisory,18.636363636363637
2025-03,EMEA,Geneva,Front Office,Discretionary,31.36363636363637
2025-03,EMEA,Geneva,Front Office,Execution-only,16.818181818181817
2025-03,EMEA,Geneva,Front Office,Lombard Lending,17.727272727272727
2025-03,EMEA,Geneva,Front Office,Structured Products,20.454545454545453
2025-03,EMEA,Geneva,Operations,Advisory,29.545454545454547
2025-03,EMEA,Geneva,Operations,Discretionary,33.18181818181819
2025-03,EMEA,Geneva,Operations,Execution-only,34.99999999999999
2025-03,EMEA,Geneva,Operations,Lombard Lending,30.000000000000004
2025-03,EMEA,Geneva,Operations,Structured Products,14.09090909090909
2025-03,EMEA,London,Client Onboarding,Advisory,20.0
2025-03,EMEA,London,Client Onboarding,Discretionary,14.09090909090909
2025-03,EMEA,London,Client Onboarding,Execution-only,35.45454545454546
2025-03,EMEA,London,Client Onboarding,Lombard Lending,6.363636363636364
2025-03,EMEA,London,Client Onboarding,Structured Products,24.09090909090909
2025-03,EMEA,London,Compliance & Controls,Advisory,19.545454545454543
2025-03,EMEA,London,Compliance & Controls,Discretionary,0.0
2025-03,EMEA,London,Compliance & Controls,Execution-only,16.36363636363636
2025-03,EMEA,London,Compliance & Controls,Lombard Lending,18.636363636363633
2025-03,EMEA,London,Compliance & Controls,Structured Products,17.27272727272727
2025-03,EMEA,London,Front Office,Advisory,24.545454545454547
2025-03,EMEA,London,Front Office,Discretionary,32.72727272727272
2025-03,EMEA,London,Front Office,Execution-only,24.545454545454547
2025-03,EMEA,London,Front Office,Lombard Lending,46.36363636363636
2025-03,EMEA,London,Front Office,Structured Products,12.727272727272728
2025-03,EMEA,London,Operations,Advisory,35.45454545454545
2025-03,EMEA,London,Operations,Discretionary,19.09090909090909
2025-03,EMEA,London,Operations,Execution-only,40.0
2025-03,EMEA,London,Operations,Lombard Lending,24.545454545454547
2025-03,EMEA,London,Operations,Structured Products,27.27272727272727
2025-03,EMEA,Zurich,Client Onboarding,Advisory,14.545454545454545
2025-03,EMEA,Zurich,Client Onboarding,Discretionary,26.81818181818182
2025-03,EMEA,Zurich,Client Onboarding,Execution-only,36.81818181818181
2025-03,EMEA,Zurich,Client Onboarding,Lombard Lending,3.6363636363636362
2025-03,EMEA,Zurich,Client Onboarding,Structured Products,0.0
2025-03,EMEA,Zurich,Compliance & Controls,Advisory,7.2727272727272725
2025-03,EMEA,Zurich,Compliance & Controls,Discretionary,36.36363636363636
2025-03,EMEA,Zurich,Compliance & Controls,Execution-only,8.636363636363635
2025-03,EMEA,Zurich,Compliance & Controls,Lombard Lending,20.909090909090907
2025-03,EMEA,Zurich,Compliance & Controls,Structured Products,25.0
2025-03,EMEA,Zurich,Front Office,Advisory,19.545454545454543
2025-03,EMEA,Zurich,Front Office,Discretionary,10.0
2025-03,EMEA,Zurich,Front Office,Execution-only,24.545454545454547
2025-03,EMEA,Zurich,Front Office,Lombard Lending,6.363636363636364
2025-03,EMEA,Zurich,Front Office,Structured Products,26.81818181818182
2025-03,EMEA,Zurich,Operations,Advisory,41.36363636363637
2025-03,EMEA,Zurich,Operations,Discretionary,22.272727272727273
2025-03,EMEA,Zurich,Operations,Execution-only,37.27272727272727
2025-03,EMEA,Zurich,Operations,Lombard Lending,33.18181818181818
2025-03,EMEA,Zurich,Operations,Structured Products,35.0
2025-04,APAC,Hong Kong,Client Onboarding,Advisory,24.545454545454547
2025-04,APAC,Hong Kong,Client Onboarding,Discretionary,28.636363636363637
2025-04,APAC,Hong Kong,Client Onboarding,Execution-only,37.72727272727273
2025-04,APAC,Hong Kong,Client Onboarding,Lombard Lending,19.545454545454543
2025-04,APAC,Hong Kong,Client Onboarding,Structured Products,15.454545454545451
2025-04,APAC,Hong Kong,Compliance & Controls,Advisory,6.363636363636364
2025-04,APAC,Hong Kong,Compliance & Controls,Discretionary,40.0
2025-04,APAC,Hong Kong,Compliance & Controls,Execution-only,20.454545454545453
2025-04,APAC,Hong Kong,Compliance & Controls,Lombard Lending,5.454545454545453
2025-04,APAC,Hong Kong,Compliance & Controls,Structured Products,13.636363636363638
2025-04,APAC,Hong Kong,Front Office,Advisory,25.0
2025-04,APAC,Hong Kong,Front Office,Discretionary,28.18181818181818
2025-04,APAC,Hong Kong,Front Office,Execution-only,28.636363636363633
2025-04,APAC,Hong Kong,Front Office,Lombard Lending,12.727272727272728
2025-04,APAC,Hong Kong,Front Office,Structured Products,28.18181818181818
2025-04,APAC,Hong Kong,Operations,Advisory,53.18181818181819
2025-04,APAC,Hong Kong,Operations,Discretionary,41.81818181818182
2025-04,APAC,Hong Kong,Operations,Execution-only,36.36363636363637
2025-04,APAC,Hong Kong,Operations,Lombard Lending,47.27272727272727
2025-04,APAC,Hong Kong,Operations,Structured Products,22.272727272727273
2025-04,APAC,Singapore,Client Onboarding,Advisory,13.181818181818183
2025-04,APAC,Singapore,Client Onboarding,Discretionary,14.545454545454545
2025-04,APAC,Singapore,Client Onboarding,Execution-only,6.818181818181819
2025-04,APAC,Singapore,Client Onboarding,Lombard Lending,13.18181818181818
2025-04,APAC,Singapore,Client Onboarding,Structured Products,11.818181818181818
2025-04,APAC,Singapore,Compliance & Controls,Advisory,7.2727272727272725
2025-04,APAC,Singapore,Compliance & Controls,Discretionary,18.636363636363637
2025-04,APAC,Singapore,Compliance & Controls,Execution-only,26.363636363636367
2025-04,APAC,Singapore,Compliance & Controls,Lombard Lending,11.818181818181818
2025-04,APAC,Singapore,Compliance & Controls,Structured Products,24.09090909090909
2025-04,APAC,Singapore,Front Office,Advisory,30.909090909090903
2025-04,APAC,Singapore,Front Office,Discretionary,35.45454545454545
2025-04,APAC,Singapore,Front Office,Execution-only,39.09090909090908
2025-04,APAC,Singapore,Front Office,Lombard Lending,15.454545454545453
2025-04,APAC,Singapore,Front Office,Structured Products,24.09090909090909
2025-04,APAC,Singapore,Operations,Advisory,35.0
2025-04,APAC,Singapore,Operations,Discretionary,37.72727272727273
2025-04,APAC,Singapore,Operations,Execution-only,43.63636363636364
2025-04,APAC,Singapore,Operations,Lombard Lending,36.81818181818181
2025-04,APAC,Singapore,Operations,Structured Products,9.090909090909092
2025-04,Americas,New York,Client Onboarding,Advisory,22.272727272727273
2025-04,Americas,New York,Client Onboarding,Discretionary,8.636363636363635
2025-04,Americas,New York,Client Onboarding,Execution-only,40.0
2025-04,Americas,New York,Client Onboarding,Lombard Lending,13.636363636363635
