Date,BookingLocation,Region,Team,Product,TransactionsCount,ClientsCount,YearMonth
2025-01-01,London,EMEA,Compliance & Controls,Structured Products,62,1,2025-01
2025-01-01,New York,Americas,Front Office,Advisory,818,44,2025-01
2025-01-01,New York,Americas,Operations,Advisory,666,15,2025-01
2025-01-01,New York,Americas,Client Onboarding,Advisory,197,13,2025-01
2025-01-01,New York,Americas,Compliance & Controls,Advisory,103,6,2025-01
2025-01-01,New York,Americas,Front Office,Discretionary,896,45,2025-01
2025-01-01,New York,Americas,Operations,Discretionary,663,21,2025-01
2025-01-01,New York,Americas,Client Onboarding,Discretionary,214,6,2025-01
2025-01-01,New York,Americas,Compliance & Controls,Discretionary,144,1,2025-01
2025-01-01,New York,Americas,Front Office,Execution-only,1109,56,2025-01
2025-01-01,New York,Americas,Operations,Execution-only,847,29,2025-01
2025-01-01,New York,Americas,Client Onboarding,Execution-only,307,11,2025-01
2025-01-01,New York,Americas,Compliance & Controls,Execution-only,167,6,2025-01
2025-01-01,New York,Americas,Front Office,Lombard Lending,467,13,2025-01
2025-01-01,New York,Americas,Operations,Lombard Lending,392,11,2025-01
2025-01-01,New York,Americas,Client Onboarding,Lombard Lending,123,4,2025-01
2025-01-01,New York,Americas,Compliance & Controls,Lombard Lending,75,1,2025-01
2025-01-01,New York,Americas,Front Office,Structured Products,313,15,2025-01
2025-01-01,New York,Americas,Operations,Structured Products,273,10,2025-01
2025-01-01,New York,Americas,Client Onboarding,Structured Products,77,3,2025-01
2025-01-01,New York,Americas,Compliance & Controls,Structured Products,56,1,2025-01
2025-01-01,Singapore,APAC,Front Office,Advisory,681,28,2025-01
2025-01-01,Singapore,APAC,Operations,Advisory,575,13,2025-01
2025-01-01,Singapore,APAC,Client Onboarding,Advisory,167,9,2025-01
2025-01-01,Singapore,APAC,Compliance & Controls,Advisory,85,4,2025-01
2025-01-01,Singapore,APAC,Front Office,Discretionary,723,31,2025-01
2025-01-01,Singapore,APAC,Operations,Discretionary,562,22,2025-01
2025-01-01,Singapore,APAC,Client Onboarding,Discretionary,184,9,2025-01
2025-01-01,Singapore,APAC,Compliance & Controls,Discretionary,99,1,2025-01
2025-01-01,Singapore,APAC,Front Office,Execution-only,876,44,2025-01
2025-01-01,Singapore,APAC,Operations,Execution-only,717,22,2025-01
2025-01-01,Singapore,APAC,Client Onboarding,Execution-only,212,4,2025-01
2025-01-01,Singapore,APAC,Compliance & Controls,Execution-only,121,4,2025-01
2025-01-01,Singapore,APAC,Front Office,Lombard Lending,409,25,2025-01
2025-01-01,Singapore,APAC,Operations,Lombard Lending,301,9,2025-01
2025-01-01,Singapore,APAC,Client Onboarding,Lombard Lending,90,4,2025-01
2025-01-01,Singapore,APAC,Compliance & Controls,Lombard Lending,59,1,2025-01
2025-01-01,Singapore,APAC,Front Office,Structured Products,246,13,2025-01
2025-01-01,Singapore,APAC,Operations,Structured Products,222,5,2025-01
2025-01-01,Singapore,APAC,Client Onboarding,Structured Products,60,5,2025-01
2025-01-01,Singapore,APAC,Compliance & Controls,Structured Products,30,1,2025-01
2025-01-01,Hong Kong,APAC,Front Office,Advisory,573,23,2025-01
2025-01-01,Hong Kong,APAC,Operations,Advisory,513,15,2025-01
2025-01-01,Hong Kong,APAC,Client Onboarding,Advisory,147,8,2025-01
2025-01-01,Hong Kong,APAC,Compliance & Controls,Advisory,98,3,2025-01
2025-01-01,Hong Kong,APAC,Front Office,Discretionary,625,26,2025-01
2025-01-01,Hong Kong,APAC,Operations,Discretionary,502,17,2025-01
2025-01-01,Hong Kong,APAC,Client Onboarding,Discretionary,159,7,2025-01
2025-01-01,Hong Kong,APAC,Compliance & Controls,Discretionary,98,4,2025-01
2025-01-01,Hong Kong,APAC,Front Office,Execution-only,811,42,2025-01
2025-01-01,Hong Kong,APAC,Operations,Execution-only,703,25,2025-01
2025-01-01,Hong Kong,APAC,Client Onboarding,Execution-only,194,13,2025-01
2025-01-01,Hong Kong,APAC,Compliance & Controls,Execution-only,143,6,2025-01
2025-01-01,Hong Kong,APAC,Front Office,Lombard Lending,337,18,2025-01
2025-01-01,Hong Kong,APAC,Operations,Lombard Lending,313,7,2025-01
2025-01-01,Hong Kong,APAC,Client Onboarding,Lombard Lending,86,2,2025-01
2025-01-01,Hong Kong,APAC,Compliance & Controls,Lombard Lending,52,1,2025-01
2025-01-01,Hong Kong,APAC,Front Office,Structured Products,227,13,2025-01
2025-01-01,Hong Kong,APAC,Operations,Structured Products,200,6,2025-01
2025-01-01,Hong Kong,APAC,Client Onboarding,Structured Products,77,3,2025-01
2025-01-01,Hong Kong,APAC,Compliance & Controls,Structured Products,37,2,2025-01
2025-01-02,Zurich,EMEA,Front Office,Advisory,1111,48,2025-01
2025-01-02,Zurich,EMEA,Operations,Advisory,940,27,2025-01
2025-01-02,Zurich,EMEA,Client Onboarding,Advisory,254,15,2025-01
2025-01-02,Zurich,EMEA,Compliance & Controls,Advisory,169,3,2025-01
2025-01-02,Zurich,EMEA,Front Office,Discretionary,1197,55,2025-01
2025-01-02,Zurich,EMEA,Operations,Discretionary,957,34,2025-01
2025-01-02,Zurich,EMEA,Client Onboarding,Discretionary,288,8,2025-01
2025-01-02,Zurich,EMEA,Compliance & Controls,Discretionary,182,4,2025-01
2025-01-02,Zurich,EMEA,Front Office,Execution-only,1564,91,2025-01
2025-01-02,Zurich,EMEA,Operations,Execution-only,1228,40,2025-01
2025-01-02,Zurich,EMEA,Client Onboarding,Execution-only,401,21,2025-01
2025-01-02,Zurich,EMEA,Compliance & Controls,Execution-only,217,8,2025-01
2025-01-02,Zurich,EMEA,Front Office,Lombard Lending,632,28,2025-01
2025-01-02,Zurich,EMEA,Operations,Lombard Lending,539,19,2025-01
2025-01-02,Zurich,EMEA,Client Onboarding,Lombard Lending,155,3,2025-01
2025-01-02,Zurich,EMEA,Compliance & Controls,Lombard Lending,104,1,2025-01
2025-01-02,Zurich,EMEA,Front Office,Structured Products,456,25,2025-01
2025-01-02,Zurich,EMEA,Operations,Structured Products,362,9,2025-01
2025-01-02,Zurich,EMEA,Client Onboarding,Structured Products,101,5,2025-01
2025-01-02,Zurich,EMEA,Compliance & Controls,Structured Products,60,2,2025-01
2025-01-02,Geneva,EMEA,Front Office,Advisory,695,30,2025-01
2025-01-02,Geneva,EMEA,Operations,Advisory,614,17,2025-01
2025-01-02,Geneva,EMEA,Client Onboarding,Advisory,188,4,2025-01
2025-01-02,Geneva,EMEA,Compliance & Controls,Advisory,92,3,2025-01
2025-01-02,Geneva,EMEA,Front Office,Discretionary,734,30,2025-01
2025-01-02,Geneva,EMEA,Operations,Discretionary,629,15,2025-01
2025-01-02,Geneva,EMEA,Client Onboarding,Discretionary,176,9,2025-01
2025-01-02,Geneva,EMEA,Compliance & Controls,Discretionary,104,2,2025-01
2025-01-02,Geneva,EMEA,Front Office,Execution-only,973,41,2025-01
2025-01-02,Geneva,EMEA,Operations,Execution-only,770,24,2025-01
2025-01-02,Geneva,EMEA,Client Onboarding,Execution-only,277,4,2025-01
2025-01-02,Geneva,EMEA,Compliance & Controls,Execution-only,147,3,2025-01
2025-01-02,Geneva,EMEA,Front Office,Lombard Lending,436,21,2025-01
2025-01-02,Geneva,EMEA,Operations,Lombard Lending,323,8,2025-01
2025-01-02,Geneva,EMEA,Client Onboarding,Lombard Lending,101,4,2025-01
2025-01-02,Geneva,EMEA,Compliance & Controls,Lombard Lending,64,5,2025-01
2025-01-02,Geneva,EMEA,Front Office,Structured Products,280,19,2025-01
2025-01-02,Geneva,EMEA,Operations,Structured Products,228,9,2025-01
2025-01-02,Geneva,EMEA,Client Onboarding,Structured Products,79,2,2025-01
2025-01-02,Geneva,EMEA,Compliance & Controls,Structured Products,31,1,2025-01
2025-01-02,London,EMEA,Front Office,Advisory,845,41,2025-01
2025-01-02,London,EMEA,Operations,Advisory,708,29,2025-01
2025-01-02,London,EMEA,Client Onboarding,Advisory,213,15,2025-01
2025-01-02,London,EMEA,Compliance & Controls,Advisory,133,2,2025-01
2025-01-02,London,EMEA,Front Office,Discretionary,973,39,2025-01
2025-01-02,London,EMEA,Operations,Discretionary,789,27,2025-01
2025-01-02,London,EMEA,Client Onboarding,Discretionary,223,13,2025-01
2025-01-02,London,EMEA,Compliance & Controls,Discretionary,137,6,2025-01
2025-01-02,London,EMEA,Front Office,Execution-only,1254,61,2025-01
2025-01-02,London,EMEA,Operations,Execution-only,1044,26,2025-01
2025-01-02,London,EMEA,Client Onboarding,Execution-only,321,10,2025-01
2025-01-02,London,EMEA,Compliance & Controls,Execution-only,207,5,2025-01
2025-01-02,London,EMEA,Front Office,Lombard Lending,557,16,2025-01
2025-01-02,London,EMEA,Operations,Lombard Lending,445,18,2025-01
2025-01-02,London,EMEA,Client Onboarding,Lombard Lending,135,12,2025-01
2025-01-02,London,EMEA,Compliance & Controls,Lombard Lending,86,4,2025-01
2025-01-02,London,EMEA,Front Office,Structured Products,381,14,2025-01
2025-01-02,London,EMEA,Operations,Structured Products,270,7,2025-01
2025-01-02,London,EMEA,Client Onboarding,Structured Products,94,5,2025-01
2025-01-02,London,EMEA,Compliance & Controls,Structured Products,57,1,2025-01
2025-01-02,New York,Americas,Front Office,Advisory,859,25,2025-01
2025-01-02,New York,Americas,Operations,Advisory,658,21,2025-01
2025-01-02,New York,Americas,Client Onboarding,Advisory,206,7,2025-01
2025-01-02,New York,Americas,Compliance & Controls,Advisory,115,6,2025-01
2025-01-02,New York,Americas,Front Office,Discretionary,850,43,2025-01
2025-01-02,New York,Americas,Operations,Discretionary,661,24,2025-01
2025-01-02,New York,Americas,Client Onboarding,Discretionary,255,11,2025-01
2025-01-02,New York,Americas,Compliance & Controls,Discretionary,138,10,2025-01
2025-01-02,New York,Americas,Front Office,Execution-only,1135,50,2025-01
2025-01-02,New York,Americas,Operations,Execution-only,859,27,2025-01
2025-01-02,New York,Americas,Client Onboarding,Execution-only,280,12,2025-01
2025-01-02,New York,Americas,Compliance & Controls,Execution-only,181,2,2025-01
2025-01-02,New York,Americas,Front Office,Lombard Lending,475,23,2025-01
2025-01-02,New York,Americas,Operations,Lombard Lending,397,15,2025-01
2025-01-02,New York,Americas,Client Onboarding,Lombard Lending,120,5,2025-01
2025-01-02,New York,Americas,Compliance & Controls,Lombard Lending,74,2,2025-01
2025-01-02,New York,Americas,Front Office,Structured Products,313,8,2025-01
2025-01-02,New York,Americas,Operations,Structured Products,236,7,2025-01
2025-01-02,New York,Americas,Client Onboarding,Structured Products,98,7,2025-01
2025-01-02,New York,Americas,Compliance & Controls,Structured Products,58,3,2025-01
2025-01-02,Singapore,APAC,Front Office,Advisory,670,18,2025-01
2025-01-02,Singapore,APAC,Operations,Advisory,496,14,2025-01
2025-01-02,Singapore,APAC,Client Onboarding,Advisory,175,9,2025-01
2025-01-02,Singapore,APAC,Compliance & Controls,Advisory,97,4,2025-01
2025-01-02,Singapore,APAC,Front Office,Discretionary,752,31,2025-01
2025-01-02,Singapore,APAC,Operations,Discretionary,573,24,2025-01
2025-01-02,Singapore,APAC,Client Onboarding,Discretionary,170,9,2025-01
2025-01-02,Singapore,APAC,Compliance & Controls,Discretionary,141,5,2025-01
2025-01-02,Singapore,APAC,Front Office,Execution-only,901,34,2025-01
2025-01-02,Singapore,APAC,Operations,Execution-only,743,27,2025-01
2025-01-02,Singapore,APAC,Client Onboarding,Execution-only,216,9,2025-01
2025-01-02,Singapore,APAC,Compliance & Controls,Execution-only,143,5,2025-01
2025-01-02,Singapore,APAC,Front Office,Lombard Lending,377,7,2025-01
2025-01-02,Singapore,APAC,Operations,Lombard Lending,311,6,2025-01
2025-01-02,Singapore,APAC,Client Onboarding,Lombard Lending,120,5,2025-01
2025-01-02,Singapore,APAC,Compliance & Controls,Lombard Lending,63,2,2025-01
2025-01-02,Singapore,APAC,Front Office,Structured Products,269,16,2025-01
2025-01-02,Singapore,APAC,Operations,Structured Products,217,9,2025-01
2025-01-02,Singapore,APAC,Client Onboarding,Structured Products,58,2,2025-01
2025-01-02,Singapore,APAC,Compliance & Controls,Structured Products,37,4,2025-01
2025-01-02,Hong Kong,APAC,Front Office,Advisory,590,32,2025-01
2025-01-02,Hong Kong,APAC,Operations,Advisory,502,19,2025-01
2025-01-02,Hong Kong,APAC,Client Onboarding,Advisory,152,6,2025-01
2025-01-02,Hong Kong,APAC,Compliance & Controls,Advisory,87,1,2025-01
2025-01-02,Hong Kong,APAC,Front Office,Discretionary,675,29,2025-01
2025-01-02,Hong Kong,APAC,Operations,Discretionary,559,16,2025-01
2025-01-02,Hong Kong,APAC,Client Onboarding,Discretionary,159,8,2025-01
2025-01-02,Hong Kong,APAC,Compliance & Controls,Discretionary,89,4,2025-01
2025-01-02,Hong Kong,APAC,Front Office,Execution-only,899,28,2025-01
2025-01-02,Hong Kong,APAC,Operations,Execution-only,655,18,2025-01
2025-01-02,Hong Kong,APAC,Client Onboarding,Execution-only,212,7,2025-01
2025-01-02,Hong Kong,APAC,Compliance & Controls,Execution-only,127,3,2025-01
2025-01-02,Hong Kong,APAC,Front Office,Lombard Lending,360,17,2025-01
2025-01-02,Hong Kong,APAC,Operations,Lombard Lending,296,12,2025-01
2025-01-02,Hong Kong,APAC,Client Onboarding,Lombard Lending,100,3,2025-01
2025-01-02,Hong Kong,APAC,Compliance & Controls,Lombard Lending,56,2,2025-01
2025-01-02,Hong Kong,APAC,Front Office,Structured Products,217,12,2025-01
2025-01-02,Hong Kong,APAC,Operations,Structured Products,194,7,2025-01
2025-01-02,Hong Kong,APAC,Client Onboarding,Structured Products,65,2,2025-01
2025-01-02,Hong Kong,APAC,Compliance & Controls,Structured Products,40,1,2025-01
2025-01-03,Zurich,EMEA,Front Office,Advisory,1048,60,2025-01
2025-01-03,Zurich,EMEA,Operations,Advisory,869,25,2025-01
2025-01-03,Zurich,EMEA,Client Onboarding,Advisory,277,14,2025-01
2025-01-03,Zurich,EMEA,Compliance & Controls,Advisory,167,9,2025-01
2025-01-03,Zurich,EMEA,Front Office,Discretionary,1145,73,2025-01
2025-01-03,Zurich,EMEA,Operations,Discretionary,990,31,2025-01
2025-01-03,Zurich,EMEA,Client Onboarding,Discretionary,302,10,2025-01
2025-01-03,Zurich,EMEA,Compliance & Controls,Discretionary,171,7,2025-01
2025-01-03,Zurich,EMEA,Front Office,Execution-only,1579,78,2025-01
2025-01-03,Zurich,EMEA,Operations,Execution-only,1260,35,2025-01
2025-01-03,Zurich,EMEA,Client Onboarding,Execution-only,379,23,2025-01
2025-01-03,Zurich,EMEA,Compliance & Controls,Execution-only,223,11,2025-01
2025-01-03,Zurich,EMEA,Front Office,Lombard Lending,698,35,2025-01
2025-01-03,Zurich,EMEA,Operations,Lombard Lending,517,15,2025-01
2025-01-03,Zurich,EMEA,Client Onboarding,Lombard Lending,173,10,2025-01
2025-01-03,Zurich,EMEA,Compliance & Controls,Lombard Lending,96,1,2025-01
2025-01-03,Zurich,EMEA,Front Office,Structured Products,430,19,2025-01
2025-01-03,Zurich,EMEA,Operations,Structured Products,361,12,2025-01
2025-01-03,Zurich,EMEA,Client Onboarding,Structured Products,98,4,2025-01
2025-01-03,Zurich,EMEA,Compliance & Controls,Structured Products,60,1,2025-01
2025-01-03,Geneva,EMEA,Front Office,Advisory,664,20,2025-01
2025-01-03,Geneva,EMEA,Operations,Advisory,571,19,2025-01
2025-01-03,Geneva,EMEA,Client Onboarding,Advisory,173,8,2025-01
2025-01-03,Geneva,EMEA,Compliance & Controls,Advisory,103,1,2025-01
2025-01-03,Geneva,EMEA,Front Office,Discretionary,754,27,2025-01
2025-01-03,Geneva,EMEA,Operations,Discretionary,597,19,2025-01
2025-01-03,Geneva,EMEA,Client Onboarding,Discretionary,195,7,2025-01
2025-01-03,Geneva,EMEA,Compliance & Controls,Discretionary,113,7,2025-01
2025-01-03,Geneva,EMEA,Front Office,Execution-only,1021,54,2025-01
2025-01-03,Geneva,EMEA,Operations,Execution-only,799,32,2025-01
2025-01-03,Geneva,EMEA,Client Onboarding,Execution-only,251,7,2025-01
2025-01-03,Geneva,EMEA,Compliance & Controls,Execution-only,125,3,2025-01
2025-01-03,Geneva,EMEA,Front Office,Lombard Lending,410,23,2025-01
2025-01-03,Geneva,EMEA,Operations,Lombard Lending,319,13,2025-01
2025-01-03,Geneva,EMEA,Client Onboarding,Lombard Lending,136,4,2025-01
2025-01-03,Geneva,EMEA,Compliance & Controls,Lombard Lending,66,2,2025-01
2025-01-03,Geneva,EMEA,Front Office,Structured Products,286,15,2025-01
2025-01-03,Geneva,EMEA,Operations,Structured Products,232,8,2025-01
2025-01-03,Geneva,EMEA,Client Onboarding,Structured Products,59,7,2025-01
2025-01-03,Geneva,EMEA,Compliance & Controls,Structured Products,47,4,2025-01
2025-01-03,London,EMEA,Front Office,Advisory,908,53,2025-01
2025-01-03,London,EMEA,Operations,Advisory,694,18,2025-01
2025-01-03,London,EMEA,Client Onboarding,Advisory,243,11,2025-01
2025-01-03,London,EMEA,Compliance & Controls,Advisory,126,4,2025-01
2025-01-03,London,EMEA,Front Office,Discretionary,1000,47,2025-01
2025-01-03,London,EMEA,Operations,Discretionary,784,25,2025-01
2025-01-03,London,EMEA,Client Onboarding,Discretionary,261,13,2025-01
2025-01-03,London,EMEA,Compliance & Controls,Discretionary,145,1,2025-01
2025-01-03,London,EMEA,Front Office,Execution-only,1279,64,2025-01
2025-01-03,London,EMEA,Operations,Execution-only,1021,34,2025-01
2025-01-03,London,EMEA,Client Onboarding,Execution-only,321,13,2025-01
2025-01-03,London,EMEA,Compliance & Controls,Execution-only,197,4,2025-01
2025-01-03,London,EMEA,Front Office,Lombard Lending,531,27,2025-01
2025-01-03,London,EMEA,Operations,Lombard Lending,435,9,2025-01
2025-01-03,London,EMEA,Client Onboarding,Lombard Lending,133,9,2025-01
2025-01-03,London,EMEA,Compliance & Controls,Lombard Lending,79,3,2025-01
2025-01-03,London,EMEA,Front Office,Structured Products,354,21,2025-01
2025-01-03,London,EMEA,Operations,Structured Products,290,10,2025-01
2025-01-03,London,EMEA,Client Onboarding,Structured Products,97,4,2025-01
2025-01-03,London,EMEA,Compliance & Controls,Structured Products,45,2,2025-01
2025-01-03,New York,Americas,Front Office,Advisory,745,31,2025-01
2025-01-03,New York,Americas,Operations,Advisory,683,17,2025-01
2025-01-03,New York,Americas,Client Onboarding,Advisory,199,3,2025-01
2025-01-03,New York,Americas,Compliance & Controls,Advisory,138,4,2025-01
2025-01-03,New York,Americas,Front Office,Discretionary,890,26,2025-01
2025-01-03,New York,Americas,Operations,Discretionary,688,24,2025-01
2025-01-03,New York,Americas,Client Onboarding,Discretionary,224,8,2025-01
2025-01-03,New York,Americas,Compliance & Controls,Discretionary,133,5,2025-01
2025-01-03,New York,Americas,Front Office,Execution-only,1122,59,2025-01
2025-01-03,New York,Americas,Operations,Execution-only,897,30,2025-01
2025-01-03,New York,Americas,Client Onboarding,Execution-only,248,15,2025-01
2025-01-03,New York,Americas,Compliance & Controls,Execution-only,156,6,2025-01
2025-01-03,New York,Americas,Front Office,Lombard Lending,511,26,2025-01
2025-01-03,New York,Americas,Operations,Lombard Lending,348,18,2025-01
2025-01-03,New York,Americas,Client Onboarding,Lombard Lending,120,7,2025-01
2025-01-03,New York,Americas,Compliance & Controls,Lombard Lending,80,5,2025-01
2025-01-03,New York,Americas,Front Office,Structured Products,332,12,2025-01
2025-01-03,New York,Americas,Operations,Structured Products,283,7,2025-01
2025-01-03,New York,Americas,Client Onboarding,Structured Products,83,8,2025-01
2025-01-03,New York,Americas,Compliance & Controls,Structured Products,58,1,2025-01
2025-01-03,Singapore,APAC,Front Office,Advisory,655,37,2025-01
2025-01-03,Singapore,APAC,Operations,Advisory,539,17,2025-01
2025-01-03,Singapore,APAC,Client Onboarding,Advisory,156,9,2025-01
2025-01-03,Singapore,APAC,Compliance & Controls,Advisory,90,5,2025-01
2025-01-03,Singapore,APAC,Front Office,Discretionary,749,24,2025-01
2025-01-03,Singapore,APAC,Operations,Discretionary,563,10,2025-01
2025-01-03,Singapore,APAC,Client Onboarding,Discretionary,196,7,2025-01
2025-01-03,Singapore,APAC,Compliance & Controls,Discretionary,102,9,2025-01
2025-01-03,Singapore,APAC,Front Office,Execution-only,910,49,2025-01
2025-01-03,Singapore,APAC,Operations,Execution-only,722,16,2025-01
2025-01-03,Singapore,APAC,Client Onboarding,Execution-only,254,11,2025-01
2025-01-03,Singapore,APAC,Compliance & Controls,Execution-only,120,3,2025-01
2025-01-03,Singapore,APAC,Front Office,Lombard Lending,390,19,2025-01
2025-01-03,Singapore,APAC,Operations,Lombard Lending,303,8,2025-01
2025-01-03,Singapore,APAC,Client Onboarding,Lombard Lending,107,4,2025-01
2025-01-03,Singapore,APAC,Compliance & Controls,Lombard Lending,67,1,2025-01
2025-01-03,Singapore,APAC,Front Office,Structured Products,236,13,2025-01
2025-01-03,Singapore,APAC,Operations,Structured Products,229,10,2025-01
2025-01-03,Singapore,APAC,Client Onboarding,Structured Products,70,1,2025-01
2025-01-03,Singapore,APAC,Compliance & Controls,Structured Products,37,4,2025-01
2025-01-03,Hong Kong,APAC,Front Office,Advisory,613,23,2025-01
2025-01-03,Hong Kong,APAC,Operations,Advisory,481,10,2025-01
2025-01-03,Hong Kong,APAC,Client Onboarding,Advisory,150,4,2025-01
2025-01-03,Hong Kong,APAC,Compliance & Controls,Advisory,65,4,2025-01
2025-01-03,Hong Kong,APAC,Front Office,Discretionary,712,21,2025-01
2025-01-03,Hong Kong,APAC,Operations,Discretionary,498,17,2025-01
2025-01-03,Hong Kong,APAC,Client Onboarding,Discretionary,166,8,2025-01
2025-01-03,Hong Kong,APAC,Compliance & Controls,Discretionary,94,2,2025-01
2025-01-03,Hong Kong,APAC,Front Office,Execution-only,856,33,2025-01
2025-01-03,Hong Kong,APAC,Operations,Execution-only,683,14,2025-01
2025-01-03,Hong Kong,APAC,Client Onboarding,Execution-only,209,4,2025-01
2025-01-03,Hong Kong,APAC,Compliance & Controls,Execution-only,122,4,2025-01
2025-01-03,Hong Kong,APAC,Front Office,Lombard Lending,369,19,2025-01
2025-01-03,Hong Kong,APAC,Operations,Lombard Lending,316,4,2025-01
2025-01-03,Hong Kong,APAC,Client Onboarding,Lombard Lending,90,1,2025-01
2025-01-03,Hong Kong,APAC,Compliance & Controls,Lombard Lending,55,4,2025-01
2025-01-03,Hong Kong,APAC,Front Office,Structured Products,249,9,2025-01
2025-01-03,Hong Kong,APAC,Operations,Structured Products,191,10,2025-01
2025-01-03,Hong Kong,APAC,Client Onboarding,Structured Products,52,2,2025-01
2025-01-03,Hong Kong,APAC,Compliance & Controls,Structured Products,29,2,2025-01
2025-01-04,Zurich,EMEA,Front Office,Advisory,724,45,2025-01
2025-01-04,Zurich,EMEA,Operations,Advisory,628,27,2025-01
2025-01-04,Zurich,EMEA,Client Onboarding,Advisory,176,20,2025-01
2025-01-04,Zurich,EMEA,Compliance & Controls,Advisory,88,2,2025-01
2025-01-04,Zurich,EMEA,Front Office,Discretionary,876,50,2025-01
2025-01-04,Zurich,EMEA,Operations,Discretionary,646,27,2025-01
2025-01-04,Zurich,EMEA,Client Onboarding,Discretionary,217,21,2025-01
2025-01-04,Zurich,EMEA,Compliance & Controls,Discretionary,124,7,2025-01
