EventID,EventType,EventDate,CloseDate,Status,BookingLocation,Region,Team,Product,Severity,RootCause,AmountCHF,IsRepeat,MandatoryFieldsMissingCount,SLA_Days,DueDate,IsSubstantiated,ClientSegment,SourceSystem,YearMonth
E0000028,High-Risk Transaction,2025-01-01,2025-01-08,Closed,New York,Americas,Front Office,Execution-only,Low,System,299871.82998737803,0,0,10,,,,Email Intake,2025-01
E0000029,Processing Error,2025-01-01,2025-01-18,Closed,New York,Americas,Operations,Execution-only,High,Policy/Guidance,,0,0,14,,,,Monitoring Tool,2025-01
E0000030,Overdue Task,2025-01-01,2025-01-07,Closed,New York,Americas,Client Onboarding,Lombard Lending,Medium,Policy/Guidance,,0,0,7,2025-01-08,,UHNW,Workflow,2025-01
E0000031,Limit Breach,2025-01-01,2025-01-10,Closed,New York,Americas,Front Office,Structured Products,Medium,System,96329.02507838146,0,0,10,,,,CRM,2025-01
E0000032,Data Quality Issue,2025-01-01,2025-01-03,Closed,New York,Americas,Front Office,Structured Products,Low,System,9421.530121063206,0,1,14,,,,Monitoring Tool,2025-01
E0000033,Processing Error,2025-01-01,2025-01-22,Closed,New York,Americas,Operations,Structured Products,High,Process,,0,0,14,,,,Core Banking,2025-01
E0000034,Reconciliation Break,2025-01-01,2025-01-07,Closed,New York,Americas,Operations,Structured Products,Low,Process,16204.390637714188,0,0,7,,,,Workflow,2025-01
E0000035,High-Risk Transaction,2025-01-01,2025-01-11,Closed,Singapore,APAC,Front Office,Advisory,Medium,Manual,61459.46967282637,0,0,10,,,,Core Banking,2025-01
E0000036,Processing Error,2025-01-01,2025-01-04,Closed,Singapore,APAC,Operations,Discretionary,Low,System,,0,0,14,,,,Core Banking,2025-01
E0000037,High-Risk Transaction,2025-01-01,2025-02-21,Closed,Singapore,APAC,Front Office,Execution-only,Critical,Manual,7812.808535481543,0,0,10,,,,Monitoring Tool,2025-01
E0000038,Processing Error,2025-01-01,2025-01-22,Closed,Singapore,APAC,Operations,Execution-only,High,System,,0,0,14,,,,Monitoring Tool,2025-01
E0000039,Processing Error,2025-01-01,2025-01-19,Closed,Singapore,APAC,Operations,Execution-only,High,Manual,38160.74266259599,0,0,14,,,,Workflow,2025-01
E0000040,KYC Review Overdue,2025-01-01,2025-01-05,Closed,Hong Kong,APAC,Front Office,Advisory,Medium,Policy/Guidance,,0,0,30,2025-01-31,,HNW,Workflow,2025-01
E0000041,High-Risk Transaction,2025-01-01,2025-01-14,Closed,Hong Kong,APAC,Front Office,Discretionary,Medium,System,149105.177298848,0,0,10,,,,Email Intake,2025-01
E0000042,Processing Error,2025-01-01,2025-01-03,Closed,Hong Kong,APAC,Operations,Discretionary,Low,Third-party,,0,0,14,,,,Workflow,2025-01
E0000043,Data Quality Issue,2025-01-01,2025-01-02,Closed,Hong Kong,APAC,Operations,Discretionary,Low,Process,13316.309859014591,0,0,14,,,,CRM,2025-01
E0000044,Data Quality Issue,2025-01-01,2025-01-04,Closed,Hong Kong,APAC,Operations,Discretionary,Low,Policy/Guidance,,0,0,14,,,,Monitoring Tool,2025-01
E0000045,Data Quality Issue,2025-01-01,2025-01-03,Closed,Hong Kong,APAC,Client Onboarding,Discretionary,Medium,Manual,6499.30496543265,0,0,14,,,,CRM,2025-01
E0000046,Limit Breach,2025-01-01,2025-01-27,Closed,Hong Kong,APAC,Front Office,Execution-only,High,Policy/Guidance,12283.062299874948,0,0,10,,,,Email Intake,2025-01
E0000047,Processing Error,2025-01-01,2025-01-01,Closed,Hong Kong,APAC,Operations,Execution-only,Low,Process,,0,0,14,,,,Email Intake,2025-01
E0000048,Processing Error,2025-01-01,2025-01-01,Closed,Hong Kong,APAC,Operations,Execution-only,Low,System,7680.030049256903,0,0,14,,,,Workflow,2025-01
E0000049,High-Risk Transaction,2025-01-01,2025-01-07,Closed,Hong Kong,APAC,Operations,Execution-only,Low,Policy/Guidance,274371.7227653481,0,0,10,,,,Monitoring Tool,2025-01
E0000050,Reconciliation Break,2025-01-01,2025-01-02,Closed,Hong Kong,APAC,Operations,Execution-only,Low,System,53760.94253190079,0,0,7,,,,Workflow,2025-01
E0000051,Processing Error,2025-01-01,2025-01-06,Closed,Hong Kong,APAC,Operations,Lombard Lending,Low,System,,0,0,14,,,,Workflow,2025-01
E0000052,Processing Error,2025-01-01,2025-01-12,Closed,Hong Kong,APAC,Operations,Lombard Lending,Medium,Process,10942.386539920291,0,0,14,,,,Core Banking,2025-01
E0000053,KYC Review Overdue,2025-01-01,2025-01-04,Closed,Hong Kong,APAC,Client Onboarding,Structured Products,Low,System,,0,0,30,2025-01-31,,Affluent,Workflow,2025-01
E0000054,Reconciliation Break,2025-01-01,2025-01-01,Closed,Hong Kong,APAC,Compliance & Controls,Structured Products,Low,Manual,91526.33491372675,0,0,7,,,,Email Intake,2025-01
E0000055,Reconciliation Break,2025-01-02,2025-01-04,Closed,Zurich,EMEA,Front Office,Advisory,Low,Manual,-32534.616178176613,0,0,7,,,,Monitoring Tool,2025-01
E0000056,Data Quality Issue,2025-01-02,2025-01-07,Closed,Zurich,EMEA,Client Onboarding,Advisory,Medium,Data,,0,0,14,,,,Core Banking,2025-01
E0000057,Processing Error,2025-01-02,2025-01-26,Closed,Zurich,EMEA,Operations,Discretionary,High,Manual,,0,0,14,,,,Workflow,2025-01
E0000058,Processing Error,2025-01-02,2025-01-13,Closed,Zurich,EMEA,Operations,Discretionary,Medium,System,14080.144481447527,0,0,14,,,,Core Banking,2025-01
E0000059,Data Quality Issue,2025-01-02,2025-01-06,Closed,Zurich,EMEA,Client Onboarding,Discretionary,Medium,System,,0,0,14,,,,Core Banking,2025-01
E0000060,High-Risk Transaction,2025-01-02,2025-01-12,Closed,Zurich,EMEA,Front Office,Execution-only,Low,Process,223304.0002254608,0,0,10,,,,CRM,2025-01
E0000061,Overdue Task,2025-01-02,,Open,Zurich,EMEA,Front Office,Execution-only,Medium,Process,,0,0,7,2025-01-09,,HNW,Workflow,2025-01
E0000062,Processing Error,2025-01-02,2025-01-06,Closed,Zurich,EMEA,Operations,Execution-only,Low,System,,0,0,14,,,,Core Banking,2025-01
E0000063,Processing Error,2025-01-02,2025-01-02,Closed,Zurich,EMEA,Operations,Execution-only,Low,Process,,0,0,14,,,,CRM,2025-01
E0000064,Processing Error,2025-01-02,2025-01-10,Closed,Zurich,EMEA,Operations,Execution-only,Low,Manual,,0,0,14,,,,Workflow,2025-01
E0000065,Processing Error,2025-01-02,2025-01-07,Closed,Zurich,EMEA,Client Onboarding,Execution-only,Low,System,24756.245655096565,0,0,14,,,,Email Intake,2025-01
E0000066,High-Risk Transaction,2025-01-02,2025-01-07,Closed,Zurich,EMEA,Front Office,Lombard Lending,Low,Policy/Guidance,59481.27222748572,0,0,10,,,,Monitoring Tool,2025-01
E0000067,Reconciliation Break,2025-01-02,2025-01-14,Closed,Zurich,EMEA,Front Office,Lombard Lending,Medium,Process,27227.893238725228,0,0,7,,,,CRM,2025-01
E0000068,Processing Error,2025-01-02,2025-01-05,Closed,Zurich,EMEA,Operations,Structured Products,Low,Third-party,,0,0,14,,,,Core Banking,2025-01
E0000069,Processing Error,2025-01-02,2025-01-08,Closed,Geneva,EMEA,Operations,Advisory,Medium,Process,,0,0,14,,,,CRM,2025-01
E0000070,Processing Error,2025-01-02,2025-02-03,Closed,Geneva,EMEA,Operations,Advisory,Critical,Process,,0,0,14,,,,Workflow,2025-01
E0000071,Processing Error,2025-01-02,2025-01-06,Closed,Geneva,EMEA,Operations,Discretionary,Low,Process,,0,0,14,,,,Email Intake,2025-01
E0000072,Processing Error,2025-01-02,2025-01-08,Closed,Geneva,EMEA,Operations,Discretionary,Low,Third-party,,0,0,14,,,,Monitoring Tool,2025-01
E0000073,Processing Error,2025-01-02,,Open,Geneva,EMEA,Front Office,Execution-only,High,Process,,0,0,14,,,,Core Banking,2025-01
E0000074,Processing Error,2025-01-02,,Open,London,EMEA,Operations,Advisory,Medium,Data,,0,0,14,,,,Workflow,2025-01
E0000075,Processing Error,2025-01-02,2025-01-10,Closed,London,EMEA,Operations,Advisory,Low,Data,,0,0,14,,,,Email Intake,2025-01
E0000076,Data Quality Issue,2025-01-02,2025-01-14,Closed,London,EMEA,Client Onboarding,Advisory,Medium,System,,0,1,14,,,,Email Intake,2025-01
E0000077,Reconciliation Break,2025-01-02,,Open,London,EMEA,Operations,Discretionary,Critical,Process,30564.760900268626,0,1,7,,,,Monitoring Tool,2025-01
E0000078,High-Risk Transaction,2025-01-02,,Open,London,EMEA,Front Office,Execution-only,Medium,Process,109974.18403069738,0,0,10,,,,Email Intake,2025-01
E0000079,High-Risk Transaction,2025-01-02,2025-01-30,Closed,London,EMEA,Front Office,Execution-only,High,Policy/Guidance,43310.6854067915,0,0,10,,,,CRM,2025-01
E0000080,Processing Error,2025-01-02,2025-01-04,Closed,London,EMEA,Operations,Execution-only,Low,Data,,0,0,14,,,,Monitoring Tool,2025-01
E0000081,Processing Error,2025-01-02,2025-01-15,Closed,London,EMEA,Operations,Execution-only,Medium,Data,,0,0,14,,,,Email Intake,2025-01
E0000082,Overdue Task,2025-01-02,2025-01-07,Closed,London,EMEA,Operations,Execution-only,Low,Policy/Guidance,,0,0,7,2025-01-09,,HNW,Workflow,2025-01
E0000083,High-Risk Transaction,2025-01-02,2025-01-26,Closed,London,EMEA,Client Onboarding,Execution-only,High,Third-party,33631.063521586264,0,0,10,,,,Monitoring Tool,2025-01
E0000084,Incident,2025-01-02,2025-03-01,Closed,London,EMEA,Compliance & Controls,Execution-only,Critical,Third-party,,0,0,30,,,,Email Intake,2025-01
E0000085,Reconciliation Break,2025-01-02,2025-01-11,Closed,London,EMEA,Compliance & Controls,Execution-only,Medium,Data,40742.61150357871,0,0,7,,,,Workflow,2025-01
E0000086,KYC Review Overdue,2025-01-02,2025-01-10,Closed,London,EMEA,Compliance & Controls,Execution-only,Low,Policy/Guidance,,0,0,30,2025-02-01,,Affluent,Workflow,2025-01
E0000087,Processing Error,2025-01-02,2025-01-12,Closed,London,EMEA,Front Office,Lombard Lending,Medium,System,,0,0,14,,,,CRM,2025-01
E0000088,High-Risk Transaction,2025-01-02,,Open,London,EMEA,Front Office,Lombard Lending,Critical,Third-party,99541.65362210709,0,0,10,,,,Workflow,2025-01
E0000089,High-Risk Transaction,2025-01-02,2025-02-22,Closed,London,EMEA,Front Office,Lombard Lending,Critical,Process,67240.07741578456,0,0,10,,,,Email Intake,2025-01
E0000090,Data Quality Issue,2025-01-02,,Open,London,EMEA,Operations,Lombard Lending,Medium,Data,,0,4,14,,,,Core Banking,2025-01
E0000091,Limit Breach,2025-01-02,2025-01-05,Closed,London,EMEA,Front Office,Structured Products,Low,System,66596.42575678724,0,0,10,,,,Workflow,2025-01
E0000092,High-Risk Transaction,2025-01-02,2025-01-16,Closed,New York,Americas,Front Office,Advisory,Medium,Data,83106.53692395068,0,0,10,,,,CRM,2025-01
E0000093,High-Risk Transaction,2025-01-02,2025-01-18,Closed,New York,Americas,Front Office,Discretionary,Medium,Third-party,171216.80525824218,0,0,10,,,,CRM,2025-01
E0000094,Processing Error,2025-01-02,2025-01-06,Closed,New York,Americas,Operations,Discretionary,Low,Data,,0,0,14,,,,Monitoring Tool,2025-01
E0000095,Processing Error,2025-01-02,2025-01-18,Closed,New York,Americas,Operations,Discretionary,Medium,Third-party,,0,0,14,,,,Email Intake,2025-01
E0000096,Complaint,2025-01-02,2025-01-12,Closed,New York,Americas,Front Office,Execution-only,Low,Process,,0,0,20,,0.0,Affluent,CRM,2025-01
E0000097,Processing Error,2025-01-02,2025-01-27,Closed,New York,Americas,Operations,Execution-only,High,Process,,0,0,14,,,,Monitoring Tool,2025-01
E0000098,Processing Error,2025-01-02,2025-01-07,Closed,New York,Americas,Operations,Execution-only,Medium,Process,,0,0,14,,,,Email Intake,2025-01
E0000099,Reconciliation Break,2025-01-02,,Open,New York,Americas,Operations,Execution-only,Medium,Third-party,16563.604396306622,0,0,7,,,,Workflow,2025-01
E0000100,Data Quality Issue,2025-01-02,2025-01-03,Closed,New York,Americas,Front Office,Lombard Lending,Low,Third-party,,0,0,14,,,,Workflow,2025-01
E0000101,Processing Error,2025-01-02,2025-01-06,Closed,New York,Americas,Operations,Lombard Lending,Low,Manual,,0,0,14,,,,Email Intake,2025-01
E0000102,Data Quality Issue,2025-01-02,2025-01-09,Closed,New York,Americas,Client Onboarding,Lombard Lending,Low,System,,0,1,14,,,,Monitoring Tool,2025-01
E0000103,Complaint,2025-01-02,2025-01-03,Closed,New York,Americas,Client Onboarding,Structured Products,Low,Policy/Guidance,,0,0,20,,1.0,Affluent,CRM,2025-01
E0000104,Incident,2025-01-02,2025-01-07,Closed,Singapore,APAC,Front Office,Advisory,Low,System,,0,0,30,,,,Core Banking,2025-01
E0000105,Processing Error,2025-01-02,2025-01-12,Closed,Singapore,APAC,Front Office,Advisory,Medium,Process,,0,0,14,,,,CRM,2025-01
E0000106,High-Risk Transaction,2025-01-02,,Open,Singapore,APAC,Front Office,Advisory,Low,System,48943.293557533325,0,0,10,,,,Workflow,2025-01
E0000107,KYC Review Overdue,2025-01-02,2025-01-05,Closed,Singapore,APAC,Client Onboarding,Advisory,Low,System,,0,0,30,2025-02-01,,Affluent,Workflow,2025-01
E0000108,Processing Error,2025-01-02,2025-01-08,Closed,Singapore,APAC,Operations,Discretionary,Medium,Manual,,0,0,14,,,,Core Banking,2025-01
E0000109,Reconciliation Break,2025-01-02,2025-01-20,Closed,Singapore,APAC,Operations,Discretionary,Medium,Policy/Guidance,98905.7905423243,0,0,7,,,,Monitoring Tool,2025-01
E0000110,Processing Error,2025-01-02,2025-01-13,Closed,Singapore,APAC,Operations,Execution-only,Low,Manual,,0,0,14,,,,Monitoring Tool,2025-01
E0000111,Processing Error,2025-01-02,2025-01-02,Closed,Singapore,APAC,Client Onboarding,Lombard Lending,Low,Process,,0,0,14,,,,CRM,2025-01
E0000112,High-Risk Transaction,2025-01-02,2025-01-08,Closed,Singapore,APAC,Front Office,Structured Products,Low,System,96104.72149542629,0,0,10,,,,Email Intake,2025-01
E0000113,High-Risk Transaction,2025-01-02,2025-01-17,Closed,Hong Kong,APAC,Front Office,Advisory,Medium,Process,114495.82371089344,0,0,10,,,,CRM,2025-01
E0000114,Processing Error,2025-01-02,2025-01-22,Closed,Hong Kong,APAC,Operations,Advisory,High,Manual,,0,0,14,,,,Monitoring Tool,2025-01
E0000115,Processing Error,2025-01-02,2025-01-11,Closed,Hong Kong,APAC,Operations,Discretionary,Medium,Process,5939.036824178819,0,0,14,,,,Email Intake,2025-01
E0000116,Processing Error,2025-01-03,2025-01-07,Closed,Zurich,EMEA,Operations,Advisory,Medium,System,,0,0,14,,,,CRM,2025-01
E0000117,Reconciliation Break,2025-01-03,,Open,Zurich,EMEA,Operations,Advisory,Low,Third-party,55952.90380207663,0,0,7,,,,Email Intake,2025-01
E0000118,Limit Breach,2025-01-03,2025-01-20,Closed,Zurich,EMEA,Front Office,Discretionary,Medium,Manual,76955.94996273103,0,0,10,,,,Monitoring Tool,2025-01
E0000119,Data Quality Issue,2025-01-03,2025-01-08,Closed,Zurich,EMEA,Client Onboarding,Discretionary,Low,Manual,,0,0,14,,,,Monitoring Tool,2025-01
E0000120,Data Quality Issue,2025-01-03,2025-01-03,Closed,Zurich,EMEA,Front Office,Execution-only,Low,Manual,,0,0,14,,,,Email Intake,2025-01
E0000121,Incident,2025-01-03,2025-01-10,Closed,Zurich,EMEA,Operations,Execution-only,Low,Manual,,0,0,30,,,,Monitoring Tool,2025-01
E0000122,Processing Error,2025-01-03,2025-01-05,Closed,Zurich,EMEA,Operations,Execution-only,Low,Manual,,0,0,14,,,,Email Intake,2025-01
E0000123,Processing Error,2025-01-03,,Open,Zurich,EMEA,Operations,Execution-only,High,Manual,13323.746011399193,0,0,14,,,,CRM,2025-01
E0000124,Processing Error,2025-01-03,2025-01-11,Closed,Zurich,EMEA,Operations,Execution-only,Medium,System,,0,0,14,,,,CRM,2025-01
E0000125,Incident,2025-01-03,2025-01-08,Closed,Zurich,EMEA,Client Onboarding,Execution-only,Low,System,,0,0,30,,,,Email Intake,2025-01
E0000126,Data Quality Issue,2025-01-03,2025-01-04,Closed,Zurich,EMEA,Compliance & Controls,Execution-only,Low,Third-party,,0,1,14,,,,CRM,2025-01
E0000127,Incident,2025-01-03,,Open,Zurich,EMEA,Operations,Lombard Lending,High,Manual,,1,0,30,,,,Core Banking,2025-01
E0000128,Reconciliation Break,2025-01-03,2025-01-08,Closed,Zurich,EMEA,Operations,Structured Products,Low,Data,131332.32075133137,0,0,7,,,,Workflow,2025-01
E0000129,Processing Error,2025-01-03,2025-01-08,Closed,Geneva,EMEA,Front Office,Advisory,Low,Policy/Guidance,,0,0,14,,,,Core Banking,2025-01
E0000130,High-Risk Transaction,2025-01-03,2025-01-21,Closed,Geneva,EMEA,Front Office,Discretionary,Medium,Process,351268.66079252627,0,0,10,,,,CRM,2025-01
E0000131,High-Risk Transaction,2025-01-03,2025-01-13,Closed,Geneva,EMEA,Front Office,Execution-only,Medium,Third-party,91237.24063183444,0,0,10,,,,CRM,2025-01
E0000132,Processing Error,2025-01-03,2025-01-25,Closed,Geneva,EMEA,Operations,Execution-only,High,System,,0,0,14,,,,Core Banking,2025-01
E0000133,Overdue Task,2025-01-03,2025-01-13,Closed,Geneva,EMEA,Operations,Execution-only,Medium,Policy/Guidance,,0,1,7,2025-01-10,,Affluent,Workflow,2025-01
E0000134,High-Risk Transaction,2025-01-03,2025-01-25,Closed,Geneva,EMEA,Front Office,Lombard Lending,High,Manual,265524.5651170319,0,0,10,,,,Email Intake,2025-01
E0000135,Processing Error,2025-01-03,2025-01-07,Closed,Geneva,EMEA,Operations,Lombard Lending,Low,Manual,,0,0,14,,,,Workflow,2025-01
E0000136,Reconciliation Break,2025-01-03,2025-01-15,Closed,Geneva,EMEA,Operations,Lombard Lending,Medium,System,32706.987706084765,0,0,7,,,,CRM,2025-01
E0000137,Processing Error,2025-01-03,2025-01-08,Closed,London,EMEA,Operations,Advisory,Low,Third-party,,0,0,14,,,,Monitoring Tool,2025-01
E0000138,Processing Error,2025-01-03,2025-01-08,Closed,London,EMEA,Operations,Advisory,Medium,System,,0,0,14,,,,CRM,2025-01
E0000139,Processing Error,2025-01-03,2025-01-08,Closed,London,EMEA,Client Onboarding,Advisory,Low,Policy/Guidance,,0,0,14,,,,CRM,2025-01
E0000140,Overdue Task,2025-01-03,,Open,London,EMEA,Front Office,Discretionary,Medium,Process,,0,0,7,2025-01-10,,HNW,Core Banking,2025-01
E0000141,Processing Error,2025-01-03,2025-01-07,Closed,London,EMEA,Operations,Discretionary,Low,Manual,,0,0,14,,,,Monitoring Tool,2025-01
E0000142,Incident,2025-01-03,2025-01-05,Closed,London,EMEA,Client Onboarding,Discretionary,Low,Policy/Guidance,,0,0,30,,,,Core Banking,2025-01
E0000143,High-Risk Transaction,2025-01-03,2025-01-03,Closed,London,EMEA,Operations,Execution-only,Low,Data,33837.38513224889,0,0,10,,,,CRM,2025-01
E0000144,Data Quality Issue,2025-01-03,2025-01-03,Closed,London,EMEA,Operations,Execution-only,Low,Policy/Guidance,,0,0,14,,,,Core Banking,2025-01
E0000145,Incident,2025-01-03,,Open,London,EMEA,Client Onboarding,Execution-only,High,System,,0,0,30,,,,Email Intake,2025-01
E0000146,Processing Error,2025-01-03,2025-01-14,Closed,New York,Americas,Operations,Advisory,Medium,Policy/Guidance,6719.071211889967,0,0,14,,,,Monitoring Tool,2025-01
E0000147,Limit Breach,2025-01-03,2025-02-01,Closed,New York,Americas,Front Office,Discretionary,High,System,30131.257539672217,0,0,10,,,,Workflow,2025-01
E0000148,Processing Error,2025-01-03,2025-02-02,Closed,New York,Americas,Operations,Execution-only,Critical,Manual,,0,1,14,,,,Core Banking,2025-01
E0000149,Data Quality Issue,2025-01-03,2025-01-16,Closed,New York,Americas,Operations,Execution-only,Medium,Data,22735.547711501436,0,0,14,,,,Core Banking,2025-01
E0000150,Reconciliation Break,2025-01-03,2025-01-12,Closed,New York,Americas,Operations,Lombard Lending,Low,Process,121400.15783723455,0,0,7,,,,Monitoring Tool,2025-01
E0000151,Reconciliation Break,2025-01-03,2025-01-17,Closed,New York,Americas,Operations,Lombard Lending,Medium,System,36591.79547390483,0,0,7,,,,CRM,2025-01
E0000152,High-Risk Transaction,2025-01-03,,Open,New York,Americas,Front Office,Structured Products,Medium,Manual,65812.51214421389,0,0,10,,,,Monitoring Tool,2025-01
E0000153,KYC Review Overdue,2025-01-03,2025-01-08,Closed,New York,Americas,Front Office,Structured Products,Low,Process,,0,0,30,2025-02-02,,HNW,Core Banking,2025-01
E0000154,Processing Error,2025-01-03,2025-01-14,Closed,New York,Americas,Compliance & Controls,Structured Products,Medium,Data,,0,0,14,,,,CRM,2025-01
E0000155,Processing Error,2025-01-03,,Open,Singapore,APAC,Front Office,Advisory,Medium,System,,0,0,14,,,,CRM,2025-01
E0000156,High-Risk Transaction,2025-01-03,2025-01-15,Closed,Singapore,APAC,Front Office,Advisory,Medium,Process,3550.3393487275703,0,0,10,,,,Monitoring Tool,2025-01
E0000157,Processing Error,2025-01-03,2025-01-12,Closed,Singapore,APAC,Operations,Advisory,Medium,System,,0,0,14,,,,CRM,2025-01
E0000158,Processing Error,2025-01-03,2025-01-14,Closed,Singapore,APAC,Operations,Advisory,Medium,System,,0,0,14,,,,CRM,2025-01
E0000159,Limit Breach,2025-01-03,2025-01-17,Closed,Singapore,APAC,Operations,Advisory,Medium,System,8355.665576761126,0,0,10,,,,CRM,2025-01
E0000160,Processing Error,2025-01-03,2025-01-10,Closed,Singapore,APAC,Operations,Discretionary,Medium,Process,,0,0,14,,,,Monitoring Tool,2025-01
E0000161,Data Quality Issue,2025-01-03,2025-01-08,Closed,Singapore,APAC,Operations,Discretionary,Medium,Policy/Guidance,,0,0,14,,,,Email Intake,2025-01
E0000162,High-Risk Transaction,2025-01-03,2025-01-08,Closed,Singapore,APAC,Front Office,Execution-only,Low,Manual,53208.11492804421,0,1,10,,,,Monitoring Tool,2025-01
E0000163,Processing Error,2025-01-03,2025-01-03,Closed,Singapore,APAC,Operations,Execution-only,Low,System,,0,0,14,,,,Email Intake,2025-01
E0000164,Data Quality Issue,2025-01-03,2025-01-06,Closed,Singapore,APAC,Operations,Execution-only,Low,Data,,0,0,14,,,,Monitoring Tool,2025-01
E0000165,High-Risk Transaction,2025-01-03,2025-01-12,Closed,Singapore,APAC,Operations,Structured Products,Medium,Manual,31912.699969324094,0,0,10,,,,Monitoring Tool,2025-01
E0000166,Processing Error,2025-01-03,2025-01-10,Closed,Hong Kong,APAC,Operations,Advisory,Medium,System,,0,0,14,,,,Email Intake,2025-01
E0000167,Processing Error,2025-01-03,2025-01-25,Closed,Hong Kong,APAC,Operations,Discretionary,High,System,33615.462862797496,0,0,14,,,,Core Banking,2025-01
E0000168,Processing Error,2025-01-03,2025-02-12,Closed,Hong Kong,APAC,Operations,Execution-only,Critical,Manual,,0,0,14,,,,Monitoring Tool,2025-01
E0000169,Processing Error,2025-01-03,2025-01-26,Closed,Hong Kong,APAC,Operations,Execution-only,High,Data,,0,0,14,,,,Core Banking,2025-01
